epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.95651,0.79185,2.19567,1.22521,0.93003,0.78965,0.93158,0.73023,1.18649,0.81991,1.12381,0,0,0
2,3.96163,0.83051,2.32392,1.2438,0.92536,0.79245,0.93158,0.74067,1.1897,0.82798,1.12641,1.17822e-06,1.17822e-06,1.17822e-06
3,5.9554,0.96258,2.63607,1.34645,0.92414,0.79321,0.93158,0.73796,1.19081,0.83439,1.12926,2.33288e-06,2.33288e-06,2.33288e-06
4,7.82632,1.26443,2.3466,1.77973,0.92506,0.79476,0.93159,0.72156,1.19363,0.84825,1.13178,3.46397e-06,3.46397e-06,3.46397e-06
5,9.7379,1.05787,2.90478,1.58507,0.91111,0.7989,0.93066,0.72083,1.20191,0.85886,1.13506,4.5715e-06,4.5715e-06,4.5715e-06
6,11.6622,0.94551,2.14465,1.26896,0.89029,0.80657,0.93065,0.71689,1.20358,0.87795,1.13794,5.65548e-06,5.65548e-06,5.65548e-06
7,13.522,0.78638,1.71652,1.20151,0.87114,0.81231,0.93065,0.71694,1.2083,0.89407,1.14094,6.71588e-06,6.71588e-06,6.71588e-06
8,15.4414,0.86539,2.23979,1.19415,0.84958,0.81926,0.91451,0.71495,1.21298,0.90719,1.14261,7.75273e-06,7.75273e-06,7.75273e-06
9,17.2962,1.01704,2.9354,1.37343,0.7608,0.83333,0.93182,0.71733,1.22138,0.92372,1.14643,8.76602e-06,8.76602e-06,8.76602e-06
10,19.2111,0.82141,1.56557,1.14219,0.82723,0.82017,0.93115,0.66352,1.22776,0.93889,1.14863,9.75574e-06,9.75574e-06,9.75574e-06
11,21.087,0.99053,2.22546,1.24038,0.84148,0.81814,0.93149,0.66375,1.22177,0.95929,1.14741,1.07219e-05,1.07219e-05,1.07219e-05
12,23.0937,0.77617,1.52499,1.22381,0.81915,0.83333,0.93087,0.67124,1.22428,0.99022,1.1491,1.16645e-05,1.16645e-05,1.16645e-05
13,25.1118,0.93236,1.13577,1.27236,0.80565,0.83333,0.91671,0.63383,1.22949,1.01862,1.15373,1.25835e-05,1.25835e-05,1.25835e-05
14,27.012,0.87872,1.63886,1.20465,0.82405,0.86144,0.9584,0.64136,1.23076,1.03206,1.15633,1.3479e-05,1.3479e-05,1.3479e-05
15,29.0524,0.96305,1.1675,1.32536,0.82631,0.87215,0.95792,0.65036,1.24335,1.06142,1.16253,1.43509e-05,1.43509e-05,1.43509e-05
16,31.1647,0.89223,1.17549,1.36295,0.83053,0.87882,0.95795,0.6377,1.27661,1.06999,1.17934,1.51993e-05,1.51993e-05,1.51993e-05
17,33.271,1.01385,0.97801,1.40357,0.84881,0.81551,0.92976,0.61041,1.32642,1.0533,1.22661,1.60241e-05,1.60241e-05,1.60241e-05
18,35.3113,0.9195,1.18382,1.21379,0.84881,0.81551,0.92976,0.61041,1.32642,1.0533,1.22661,1.68253e-05,1.68253e-05,1.68253e-05
19,37.4325,0.85705,0.95679,1.15794,0.83419,0.88849,0.95716,0.5972,1.39191,1.02384,1.30661,1.7603e-05,1.7603e-05,1.7603e-05
20,39.4637,0.77118,0.69769,1.14577,0.83419,0.88849,0.95716,0.5972,1.39191,1.02384,1.30661,1.83571e-05,1.83571e-05,1.83571e-05
21,41.7168,0.89591,1.82077,1.37299,0.84254,0.89481,0.95434,0.59368,1.42091,1.0368,1.33786,1.90876e-05,1.90876e-05,1.90876e-05
22,43.7162,0.78948,1.13031,1.28609,0.84254,0.89481,0.95434,0.59368,1.42091,1.0368,1.33786,1.97946e-05,1.97946e-05,1.97946e-05
23,45.8733,0.93379,1.20711,1.22168,0.84748,0.90139,0.95398,0.59006,1.37783,1.09244,1.28953,2.0478e-05,2.0478e-05,2.0478e-05
24,47.8879,0.74152,0.76666,1.13728,0.84748,0.90139,0.95398,0.59006,1.37783,1.09244,1.28953,2.11379e-05,2.11379e-05,2.11379e-05
25,50.0288,0.88102,1.27746,1.26086,0.85176,0.90136,0.95341,0.58002,1.45391,1.05222,1.37017,2.17741e-05,2.17741e-05,2.17741e-05
26,52.0801,0.93669,0.95026,1.42579,0.85176,0.90136,0.95341,0.58002,1.45391,1.05222,1.37017,2.23869e-05,2.23869e-05,2.23869e-05
27,54.1661,0.6848,0.82464,1.0969,0.85616,0.89947,0.9531,0.57099,1.47444,1.04101,1.37739,2.2976e-05,2.2976e-05,2.2976e-05
28,56.2197,0.78375,0.95269,1.14991,0.85616,0.89947,0.9531,0.57099,1.47444,1.04101,1.37739,2.35417e-05,2.35417e-05,2.35417e-05
29,58.3094,0.85477,1.14076,1.17824,0.92656,0.78978,0.88932,0.56736,1.48788,1.04395,1.38924,2.40837e-05,2.40837e-05,2.40837e-05
30,60.4442,0.55094,0.75525,0.98682,0.92656,0.78978,0.88932,0.56736,1.48788,1.04395,1.38924,2.46022e-05,2.46022e-05,2.46022e-05
31,62.5682,0.68309,0.72482,1.12904,0.7363,0.63456,0.72582,0.54633,1.49735,1.05464,1.39532,2.50971e-05,2.50971e-05,2.50971e-05
32,64.5797,0.84025,0.81284,1.10184,0.7363,0.63456,0.72582,0.54633,1.49735,1.05464,1.39532,2.55685e-05,2.55685e-05,2.55685e-05
33,66.7163,0.68926,0.77444,1.16562,0.72267,0.63758,0.75475,0.55781,1.50481,1.06614,1.39638,2.60163e-05,2.60163e-05,2.60163e-05
34,68.7221,0.61676,0.70505,1.16662,0.72267,0.63758,0.75475,0.55781,1.50481,1.06614,1.39638,2.64405e-05,2.64405e-05,2.64405e-05
35,70.8884,0.66239,0.72139,1.04288,0.71902,0.64051,0.74087,0.551,1.50437,1.09083,1.38653,2.68412e-05,2.68412e-05,2.68412e-05
36,72.9153,0.61313,0.73095,1.04173,0.71902,0.64051,0.74087,0.551,1.50437,1.09083,1.38653,2.72183e-05,2.72183e-05,2.72183e-05
37,75.0031,0.73496,0.98233,1.22946,0.69086,0.65432,0.7386,0.54678,1.49528,1.13188,1.36642,2.75718e-05,2.75718e-05,2.75718e-05
38,77.1221,0.69717,0.72754,1.12849,0.69086,0.65432,0.7386,0.54678,1.49528,1.13188,1.36642,2.79018e-05,2.79018e-05,2.79018e-05
39,79.2131,0.7726,1.01159,1.26738,0.82857,0.66667,0.73749,0.55207,1.49303,1.19251,1.34011,2.82082e-05,2.82082e-05,2.82082e-05
40,81.2614,0.64516,0.7514,1.01835,0.82857,0.66667,0.73749,0.55207,1.49303,1.19251,1.34011,2.84911e-05,2.84911e-05,2.84911e-05
41,83.3469,0.64319,0.61477,1.0463,0.82042,0.67063,0.74025,0.55431,1.49681,1.22916,1.33763,2.87504e-05,2.87504e-05,2.87504e-05
42,85.3764,0.7899,0.73201,1.20912,0.82042,0.67063,0.74025,0.55431,1.49681,1.22916,1.33763,2.89861e-05,2.89861e-05,2.89861e-05
43,87.5097,0.30525,1.26472,0.99587,0.78941,0.67605,0.73866,0.53591,1.49479,1.28003,1.32499,2.91983e-05,2.91983e-05,2.91983e-05
44,89.5211,0.82804,0.58333,1.19498,0.78941,0.67605,0.73866,0.53591,1.49479,1.28003,1.32499,2.93869e-05,2.93869e-05,2.93869e-05
45,91.7111,0.46898,0.59242,1.02418,0.76451,0.68081,0.73874,0.53631,1.49987,1.32388,1.31931,2.9552e-05,2.9552e-05,2.9552e-05
46,93.7314,0.70595,0.68128,1.20647,0.76451,0.68081,0.73874,0.53631,1.49987,1.32388,1.31931,2.96935e-05,2.96935e-05,2.96935e-05
47,95.9737,0.60144,0.53293,1.01297,0.75608,0.68171,0.73883,0.5363,1.53123,1.37279,1.35329,2.98114e-05,2.98114e-05,2.98114e-05
48,98.0202,0.53778,0.58798,1.01636,0.75608,0.68171,0.73883,0.5363,1.53123,1.37279,1.35329,2.99058e-05,2.99058e-05,2.99058e-05
49,100.147,0.80095,0.62731,1.17627,0.61999,0.7,0.73112,0.53626,1.54618,1.45032,1.34545,2.99766e-05,2.99766e-05,2.99766e-05
50,102.24,0.6035,0.41242,1.01684,0.61999,0.7,0.73112,0.53626,1.54618,1.45032,1.34545,3.00238e-05,3.00238e-05,3.00238e-05
51,104.354,0.55655,0.50677,1.05358,0.64596,0.7,0.72854,0.52798,1.5551,1.49856,1.34082,3.00475e-05,3.00475e-05,3.00475e-05
52,106.386,0.59748,0.47023,1.06325,0.64596,0.7,0.72854,0.52798,1.5551,1.49856,1.34082,3.00476e-05,3.00476e-05,3.00476e-05
53,108.372,0.52516,0.41389,1.11806,0.64596,0.7,0.72854,0.52798,1.5551,1.49856,1.34082,3.00242e-05,3.00242e-05,3.00242e-05
54,110.465,0.66519,0.68059,1.14122,0.62655,0.7251,0.74099,0.53147,1.5745,1.54308,1.35207,2.99772e-05,2.99772e-05,2.99772e-05
55,112.662,0.68666,0.50731,0.98759,0.62655,0.7251,0.74099,0.53147,1.5745,1.54308,1.35207,2.99066e-05,2.99066e-05,2.99066e-05
56,114.691,0.49096,0.5881,0.9697,0.62655,0.7251,0.74099,0.53147,1.5745,1.54308,1.35207,2.98125e-05,2.98125e-05,2.98125e-05
57,116.856,0.54399,0.49051,1.02168,0.67956,0.58139,0.74924,0.52693,1.60131,1.55372,1.37309,2.96948e-05,2.96948e-05,2.96948e-05
58,118.884,0.61823,0.47241,1.09178,0.67956,0.58139,0.74924,0.52693,1.60131,1.55372,1.37309,2.95535e-05,2.95535e-05,2.95535e-05
