epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.91878,0.64539,1.65592,1.14101,0.76237,0.96667,0.94229,0.76799,1.04887,0.60442,1.10034,0,0,0
2,9.49187,0.7999,1.57872,1.19813,0.7574,0.96667,0.94229,0.7531,1.04805,0.60775,1.10009,1.17822e-06,1.17822e-06,1.17822e-06
3,13.8652,0.85895,2.00793,1.33384,0.76776,0.96667,0.96841,0.75901,1.04495,0.60782,1.0984,2.33288e-06,2.33288e-06,2.33288e-06
4,18.1879,1.2246,1.85446,1.9009,0.76782,0.96667,0.96818,0.75837,1.04664,0.60928,1.09889,3.46397e-06,3.46397e-06,3.46397e-06
5,22.5633,1.02705,2.3574,1.5712,0.80998,0.96667,0.96685,0.75251,1.04079,0.61498,1.09743,4.5715e-06,4.5715e-06,4.5715e-06
6,27.3425,0.69621,1.67008,1.06241,0.80784,0.96667,0.96672,0.75246,1.04011,0.62084,1.09754,5.65548e-06,5.65548e-06,5.65548e-06
7,32.2643,0.76923,1.43347,1.20833,0.81121,0.96667,0.96672,0.75264,1.03865,0.62631,1.09653,6.71588e-06,6.71588e-06,6.71588e-06
8,37.2898,0.60713,1.41509,1.10074,0.81224,0.96667,0.96686,0.75292,1.04764,0.63072,1.09987,7.75273e-06,7.75273e-06,7.75273e-06
9,42.2703,0.79703,2.44632,1.20187,0.81904,0.96667,0.96659,0.74696,1.04266,0.63704,1.09686,8.76602e-06,8.76602e-06,8.76602e-06
10,47.1898,0.7416,0.89459,1.1057,0.81704,0.96667,0.96658,0.75215,1.03537,0.63886,1.09354,9.75574e-06,9.75574e-06,9.75574e-06
11,52.157,0.77915,1.54375,1.13275,0.8016,0.96667,0.96659,0.74376,1.03646,0.63148,1.09487,1.07219e-05,1.07219e-05,1.07219e-05
12,57.0972,0.7752,0.94297,1.23375,0.79912,0.96667,0.96686,0.74038,1.03106,0.6317,1.09278,1.16645e-05,1.16645e-05,1.16645e-05
13,61.9937,0.72901,0.60986,1.16486,0.79882,0.96667,0.96703,0.74037,1.02923,0.63224,1.0925,1.25835e-05,1.25835e-05,1.25835e-05
14,66.8986,0.67453,0.9014,1.09572,0.80306,0.96667,0.96721,0.7361,1.02208,0.64423,1.08824,1.3479e-05,1.3479e-05,1.3479e-05
15,71.9362,0.84032,0.72638,1.27934,0.80808,0.96667,0.96777,0.73649,1.02611,0.65416,1.09127,1.43509e-05,1.43509e-05,1.43509e-05
16,76.8464,0.77561,0.89632,1.31693,0.78893,0.96667,0.96757,0.73647,1.02312,0.66389,1.09119,1.51993e-05,1.51993e-05,1.51993e-05
17,81.7538,0.80481,0.77542,1.39611,0.7518,0.96667,0.96759,0.73675,1.02548,0.67955,1.09367,1.60241e-05,1.60241e-05,1.60241e-05
18,86.5316,0.6902,0.81007,1.09519,0.7518,0.96667,0.96759,0.73675,1.02548,0.67955,1.09367,1.68253e-05,1.68253e-05,1.68253e-05
19,91.4514,0.64415,0.5684,1.02979,0.72103,0.96667,0.9676,0.73418,1.03659,0.69426,1.10044,1.7603e-05,1.7603e-05,1.7603e-05
20,96.2087,0.77394,0.62999,1.18016,0.72103,0.96667,0.9676,0.73418,1.03659,0.69426,1.10044,1.83571e-05,1.83571e-05,1.83571e-05
21,101.507,0.82368,1.06305,1.31021,0.68707,0.96667,0.96745,0.72811,1.047,0.70561,1.10629,1.90876e-05,1.90876e-05,1.90876e-05
22,106.276,0.50664,0.42218,1.18141,0.68707,0.96667,0.96745,0.72811,1.047,0.70561,1.10629,1.97946e-05,1.97946e-05,1.97946e-05
23,111.257,0.68155,0.64697,1.10303,0.62796,0.96667,0.96806,0.72826,1.059,0.72894,1.1122,2.0478e-05,2.0478e-05,2.0478e-05
24,116.062,0.66782,0.50294,1.16746,0.62796,0.96667,0.96806,0.72826,1.059,0.72894,1.1122,2.11379e-05,2.11379e-05,2.11379e-05
25,121.025,0.79685,1.01453,1.22373,0.60319,0.96667,0.96787,0.72837,1.07058,0.74979,1.11268,2.17741e-05,2.17741e-05,2.17741e-05
26,125.822,0.64114,0.77442,1.21316,0.60319,0.96667,0.96787,0.72837,1.07058,0.74979,1.11268,2.23869e-05,2.23869e-05,2.23869e-05
27,130.891,0.57965,0.70437,1.09394,0.61893,0.96667,0.94053,0.72243,1.08862,0.786,1.12015,2.2976e-05,2.2976e-05,2.2976e-05
28,135.798,0.6143,0.64537,1.10168,0.61893,0.96667,0.94053,0.72243,1.08862,0.786,1.12015,2.35417e-05,2.35417e-05,2.35417e-05
29,140.741,0.68901,0.65833,1.13939,0.64597,0.8,0.94035,0.7189,1.12186,0.81675,1.13437,2.40837e-05,2.40837e-05,2.40837e-05
30,145.608,0.43966,0.56207,0.95678,0.64597,0.8,0.94035,0.7189,1.12186,0.81675,1.13437,2.46022e-05,2.46022e-05,2.46022e-05
31,150.603,0.53359,0.46573,1.0425,0.80132,0.71667,0.94042,0.71052,1.14793,0.85898,1.14353,2.50971e-05,2.50971e-05,2.50971e-05
32,155.358,0.57561,0.56665,1.00163,0.80132,0.71667,0.94042,0.71052,1.14793,0.85898,1.14353,2.55685e-05,2.55685e-05,2.55685e-05
33,160.293,0.54591,0.55104,1.06322,0.79853,0.71558,0.94046,0.71026,1.16335,0.8838,1.15139,2.60163e-05,2.60163e-05,2.60163e-05
34,165.24,0.58444,0.47312,1.11991,0.79853,0.71558,0.94046,0.71026,1.16335,0.8838,1.15139,2.64405e-05,2.64405e-05,2.64405e-05
35,170.204,0.57356,0.54192,1.00926,0.79675,0.71331,0.94052,0.71013,1.17059,0.92963,1.15529,2.68412e-05,2.68412e-05,2.68412e-05
36,175.016,0.44619,0.49523,0.99392,0.79675,0.71331,0.94052,0.71013,1.17059,0.92963,1.15529,2.72183e-05,2.72183e-05,2.72183e-05
37,180.009,0.61724,0.51698,1.17172,0.79098,0.71348,0.92689,0.70626,1.17699,0.95956,1.15791,2.75718e-05,2.75718e-05,2.75718e-05
38,184.815,0.56199,0.55619,1.06447,0.79098,0.71348,0.92689,0.70626,1.17699,0.95956,1.15791,2.79018e-05,2.79018e-05,2.79018e-05
39,189.789,0.64452,0.75562,1.18312,0.8007,0.70885,0.81614,0.60475,1.19574,1.02202,1.16689,2.82082e-05,2.82082e-05,2.82082e-05
40,194.75,0.56275,0.7943,1.04991,0.8007,0.70885,0.81614,0.60475,1.19574,1.02202,1.16689,2.84911e-05,2.84911e-05,2.84911e-05
41,199.998,0.50564,0.44511,0.98542,0.77197,0.71241,0.80784,0.60504,1.19033,1.06997,1.15737,2.87504e-05,2.87504e-05,2.87504e-05
42,204.88,0.62118,0.55466,1.12952,0.77197,0.71241,0.80784,0.60504,1.19033,1.06997,1.15737,2.89861e-05,2.89861e-05,2.89861e-05
43,209.8,0.37062,1.18881,1.05456,0.7169,0.71667,0.78,0.57754,1.21239,1.10267,1.16294,2.91983e-05,2.91983e-05,2.91983e-05
44,214.652,0.61074,0.44982,1.11551,0.7169,0.71667,0.78,0.57754,1.21239,1.10267,1.16294,2.93869e-05,2.93869e-05,2.93869e-05
45,219.841,0.43882,0.42255,1.01314,0.70805,0.71667,0.78022,0.59687,1.24657,1.12665,1.1751,2.9552e-05,2.9552e-05,2.9552e-05
46,224.708,0.54565,0.48631,1.11205,0.70805,0.71667,0.78022,0.59687,1.24657,1.12665,1.1751,2.96935e-05,2.96935e-05,2.96935e-05
47,229.747,0.4695,0.41844,0.95219,0.73621,0.70963,0.77612,0.58544,1.26674,1.15939,1.183,2.98114e-05,2.98114e-05,2.98114e-05
48,234.609,0.45232,0.43277,0.96201,0.73621,0.70963,0.77612,0.58544,1.26674,1.15939,1.183,2.99058e-05,2.99058e-05,2.99058e-05
49,239.622,0.63673,0.47391,1.10062,0.75035,0.70299,0.75942,0.56746,1.29511,1.2001,1.19322,2.99766e-05,2.99766e-05,2.99766e-05
50,244.492,0.44017,0.36544,0.93151,0.75035,0.70299,0.75942,0.56746,1.29511,1.2001,1.19322,3.00238e-05,3.00238e-05,3.00238e-05
51,250.979,0.50083,0.41646,1.04491,0.76813,0.69415,0.76682,0.56987,1.32304,1.24075,1.20955,3.00475e-05,3.00475e-05,3.00475e-05
52,256.812,0.55889,0.39431,1.00675,0.76813,0.69415,0.76682,0.56987,1.32304,1.24075,1.20955,3.00476e-05,3.00476e-05,3.00476e-05
53,262.291,0.44643,0.32345,1.03135,0.76813,0.69415,0.76682,0.56987,1.32304,1.24075,1.20955,3.00242e-05,3.00242e-05,3.00242e-05
54,268.008,0.4171,0.4504,1.00026,0.78471,0.68629,0.74835,0.56572,1.32883,1.26865,1.21571,2.99772e-05,2.99772e-05,2.99772e-05
55,273.538,0.39522,0.39978,0.89019,0.78471,0.68629,0.74835,0.56572,1.32883,1.26865,1.21571,2.99066e-05,2.99066e-05,2.99066e-05
56,278.853,0.49614,0.47648,0.97795,0.78471,0.68629,0.74835,0.56572,1.32883,1.26865,1.21571,2.98125e-05,2.98125e-05,2.98125e-05
57,284.489,0.45978,0.42186,0.97212,0.79959,0.66598,0.74206,0.56244,1.35539,1.30512,1.23077,2.96948e-05,2.96948e-05,2.96948e-05
58,290.621,0.46155,0.36366,1.01423,0.79959,0.66598,0.74206,0.56244,1.35539,1.30512,1.23077,2.95535e-05,2.95535e-05,2.95535e-05
59,297.073,0.43678,0.44773,0.9961,0.79959,0.66598,0.74206,0.56244,1.35539,1.30512,1.23077,2.93887e-05,2.93887e-05,2.93887e-05
60,304.625,0.59923,0.57929,1.13006,0.81602,0.66219,0.72547,0.55947,1.38892,1.35506,1.25031,2.92003e-05,2.92003e-05,2.92003e-05
61,312.204,0.37148,0.41727,0.94247,0.81602,0.66219,0.72547,0.55947,1.38892,1.35506,1.25031,2.89884e-05,2.89884e-05,2.89884e-05
62,319.056,0.46596,0.38334,1.0218,0.81602,0.66219,0.72547,0.55947,1.38892,1.35506,1.25031,2.87529e-05,2.87529e-05,2.87529e-05
63,326.38,0.83201,0.67194,1.38698,0.82028,0.66281,0.72577,0.55887,1.41637,1.41993,1.27367,2.84938e-05,2.84938e-05,2.84938e-05
64,333.971,0.54735,0.43017,0.98531,0.82028,0.66281,0.72577,0.55887,1.41637,1.41993,1.27367,2.82112e-05,2.82112e-05,2.82112e-05
65,340.935,0.34832,0.31168,0.88681,0.82028,0.66281,0.72577,0.55887,1.41637,1.41993,1.27367,2.7905e-05,2.7905e-05,2.7905e-05
66,348.228,0.37954,0.30101,0.98888,0.82417,0.66158,0.72764,0.55914,1.43102,1.4801,1.29048,2.75753e-05,2.75753e-05,2.75753e-05
67,355.677,0.38732,0.33963,0.89752,0.82417,0.66158,0.72764,0.55914,1.43102,1.4801,1.29048,2.7222e-05,2.7222e-05,2.7222e-05
68,363.958,0.57033,0.46426,1.077,0.82417,0.66158,0.72764,0.55914,1.43102,1.4801,1.29048,2.68451e-05,2.68451e-05,2.68451e-05
69,372.276,0.41165,0.42536,0.92984,0.79816,0.68032,0.72375,0.55851,1.42983,1.47998,1.28981,2.64447e-05,2.64447e-05,2.64447e-05
70,379.687,0.54906,0.4733,0.99711,0.79816,0.68032,0.72375,0.55851,1.42983,1.47998,1.28981,2.60207e-05,2.60207e-05,2.60207e-05
71,387.02,0.28079,0.32906,0.86815,0.79816,0.68032,0.72375,0.55851,1.42983,1.47998,1.28981,2.55731e-05,2.55731e-05,2.55731e-05
72,394.534,0.37415,0.3604,0.85158,0.78822,0.67472,0.72769,0.55966,1.43275,1.51251,1.29853,2.5102e-05,2.5102e-05,2.5102e-05
73,401.776,0.48201,0.44672,1.01525,0.78822,0.67472,0.72769,0.55966,1.43275,1.51251,1.29853,2.46073e-05,2.46073e-05,2.46073e-05
74,408.601,0.47278,0.40836,0.98588,0.78822,0.67472,0.72769,0.55966,1.43275,1.51251,1.29853,2.40891e-05,2.40891e-05,2.40891e-05
75,415.747,0.54476,0.48879,1.15691,0.78555,0.67961,0.72857,0.57417,1.44201,1.56895,1.30858,2.35472e-05,2.35472e-05,2.35472e-05
76,422.864,0.35632,0.28397,0.92284,0.78555,0.67961,0.72857,0.57417,1.44201,1.56895,1.30858,2.29819e-05,2.29819e-05,2.29819e-05
77,430.297,0.43846,0.34086,0.99742,0.78555,0.67961,0.72857,0.57417,1.44201,1.56895,1.30858,2.23929e-05,2.23929e-05,2.23929e-05
78,437.635,0.46023,0.50565,1.00808,0.78377,0.67855,0.73072,0.57549,1.42919,1.55095,1.30058,2.17805e-05,2.17805e-05,2.17805e-05
