epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,458.814,0.55603,0.6861,1.16382,0.91146,0.70203,0.96313,0.7574,1.06904,1.16388,1.22826,2.82082e-05,2.82082e-05,2.82082e-05
40,470.196,0.46553,0.48971,1.03795,0.91146,0.70203,0.96313,0.7574,1.06904,1.16388,1.22826,2.84911e-05,2.84911e-05,2.84911e-05
41,481.571,0.50344,0.41391,0.97848,0.91564,0.6892,0.96309,0.7543,1.06975,1.17691,1.23362,2.87504e-05,2.87504e-05,2.87504e-05
42,492.543,0.48139,0.36163,1.02949,0.91564,0.6892,0.96309,0.7543,1.06975,1.17691,1.23362,2.89861e-05,2.89861e-05,2.89861e-05
43,504.004,0.30853,0.71281,1.05214,0.87414,0.68385,0.96547,0.75977,1.08228,1.14609,1.23826,2.91983e-05,2.91983e-05,2.91983e-05
44,514.847,0.47444,0.41362,0.98236,0.87414,0.68385,0.96547,0.75977,1.08228,1.14609,1.23826,2.93869e-05,2.93869e-05,2.93869e-05
45,526.272,0.45479,0.57634,1.04161,0.81556,0.74077,0.88354,0.64402,1.11126,1.16696,1.24953,2.9552e-05,2.9552e-05,2.9552e-05
46,537.535,0.50603,0.40049,1.0677,0.81556,0.74077,0.88354,0.64402,1.11126,1.16696,1.24953,2.96935e-05,2.96935e-05,2.96935e-05
47,549.815,0.38493,0.38704,0.90307,0.78818,0.72646,0.88264,0.60125,1.10902,1.2348,1.26184,2.98114e-05,2.98114e-05,2.98114e-05
48,562.216,0.43871,0.36163,0.94908,0.78818,0.72646,0.88264,0.60125,1.10902,1.2348,1.26184,2.99058e-05,2.99058e-05,2.99058e-05
49,575.224,0.62252,0.50696,1.10928,0.77047,0.60567,0.82712,0.59962,1.09974,1.3133,1.26866,2.99766e-05,2.99766e-05,2.99766e-05
50,587.701,0.43335,0.32353,0.99507,0.77047,0.60567,0.82712,0.59962,1.09974,1.3133,1.26866,3.00238e-05,3.00238e-05,3.00238e-05
51,600.678,0.47189,0.34654,0.99814,0.76235,0.60123,0.82194,0.58821,1.17759,1.45806,1.34891,3.00475e-05,3.00475e-05,3.00475e-05
52,613.969,0.46735,0.30504,1.03464,0.76235,0.60123,0.82194,0.58821,1.17759,1.45806,1.34891,3.00476e-05,3.00476e-05,3.00476e-05
53,630.885,0.41305,0.29181,1.01615,0.76235,0.60123,0.82194,0.58821,1.17759,1.45806,1.34891,3.00242e-05,3.00242e-05,3.00242e-05
54,646.4,0.35284,0.36535,0.94509,0.74667,0.69987,0.80351,0.57754,1.1542,1.49867,1.33132,2.99772e-05,2.99772e-05,2.99772e-05
