2025-12-22 16:34:43 [INFO] === Starting network test ===
2025-12-22 16:35:05 [INFO] Ping to 8.8.8.8: 14.56 ms
2025-12-22 16:35:05 [INFO] Download Speed: 52.50 Mbps
2025-12-22 16:35:05 [INFO] Upload Speed: 21.17 Mbps
2025-12-22 16:35:05 [INFO] Initializing YOLO model...
2025-12-22 16:36:59 [INFO] Running iteration 25/60 | FPS=5
2025-12-22 16:37:00 [INFO] Running iteration 26/60 | FPS=5
2025-12-22 16:37:00 [INFO] Running iteration 27/60 | FPS=5
2025-12-22 16:37:01 [INFO] Running iteration 28/60 | FPS=5
2025-12-22 16:37:02 [INFO] Running iteration 29/60 | FPS=5
2025-12-22 16:37:03 [INFO] Running iteration 30/60 | FPS=5
2025-12-22 16:37:03 [INFO] Running iteration 31/60 | FPS=5
2025-12-22 16:37:04 [INFO] Running iteration 32/60 | FPS=5
2025-12-22 16:37:05 [INFO] Running iteration 33/60 | FPS=5
2025-12-22 16:37:06 [INFO] Running iteration 34/60 | FPS=5
2025-12-22 16:37:07 [INFO] Running iteration 35/60 | FPS=5
2025-12-22 16:37:07 [INFO] Running iteration 36/60 | FPS=5
2025-12-22 16:37:08 [INFO] Running iteration 37/60 | FPS=5
2025-12-22 16:37:09 [INFO] Running iteration 38/60 | FPS=5
2025-12-22 16:37:10 [INFO] Running iteration 39/60 | FPS=5
2025-12-22 16:37:11 [INFO] Running iteration 40/60 | FPS=5
2025-12-22 16:37:12 [INFO] Running iteration 41/60 | FPS=5
2025-12-22 16:37:13 [INFO] Running iteration 42/60 | FPS=5
2025-12-22 16:37:14 [INFO] Running iteration 43/60 | FPS=5
2025-12-22 16:37:15 [INFO] Running iteration 44/60 | FPS=5
2025-12-22 16:37:16 [INFO] Running iteration 45/60 | FPS=5
2025-12-22 16:37:17 [INFO] Running iteration 46/60 | FPS=5
2025-12-22 16:37:18 [INFO] Running iteration 47/60 | FPS=5
2025-12-22 16:37:18 [INFO] Running iteration 48/60 | FPS=5
2025-12-22 16:37:19 [INFO] Running iteration 49/60 | FPS=5
2025-12-22 16:37:20 [INFO] Running iteration 50/60 | FPS=5
2025-12-22 16:37:21 [INFO] Running iteration 51/60 | FPS=5
2025-12-22 16:37:22 [INFO] Running iteration 52/60 | FPS=5
2025-12-22 16:37:23 [INFO] Running iteration 53/60 | FPS=5
2025-12-22 16:37:24 [INFO] Running iteration 54/60 | FPS=5
2025-12-22 16:37:25 [INFO] Running iteration 55/60 | FPS=5
2025-12-22 16:37:26 [INFO] Running iteration 56/60 | FPS=5
2025-12-22 16:37:27 [INFO] Running iteration 57/60 | FPS=5
2025-12-22 16:37:28 [INFO] Running iteration 58/60 | FPS=5
2025-12-22 16:37:29 [INFO] Running iteration 59/60 | FPS=5
2025-12-22 16:37:30 [INFO] Running iteration 60/60 | FPS=5
2025-12-22 16:37:31 [INFO] === Starting FPS=10 experiment ===
2025-12-22 16:37:31 [INFO] Running iteration 1/60 | FPS=10
2025-12-22 16:37:32 [INFO] Running iteration 2/60 | FPS=10
