[2025-10-05T18:23:30.258239] === Starting network test ===
[2025-10-05T18:23:52.223705] Ping to 8.8.8.8: 14.56 ms
[2025-10-05T18:23:52.223705] Download Speed: 51.31 Mbps
[2025-10-05T18:23:52.223705] Upload Speed: 21.29 Mbps
[2025-10-05T18:23:52.223705] 
=== Starting test at 1 FPS ===
[2025-10-05T18:23:54.007664] Iteration 1/50 | FPS=1 | Status=200
[2025-10-05T18:23:55.192624] Iteration 2/50 | FPS=1 | Status=200
[2025-10-05T18:23:56.378649] Iteration 3/50 | FPS=1 | Status=200
[2025-10-05T18:23:57.567501] Iteration 4/50 | FPS=1 | Status=200
[2025-10-05T18:23:58.595573] Iteration 5/50 | FPS=1 | Status=200
[2025-10-05T18:23:59.630450] Iteration 6/50 | FPS=1 | Status=200
[2025-10-05T18:24:00.852571] Iteration 7/50 | FPS=1 | Status=200
[2025-10-05T18:24:02.017751] Iteration 8/50 | FPS=1 | Status=200
[2025-10-05T18:24:03.337672] Iteration 9/50 | FPS=1 | Status=200
[2025-10-05T18:24:04.614515] Iteration 10/50 | FPS=1 | Status=200
[2025-10-05T18:24:05.928284] Iteration 11/50 | FPS=1 | Status=200
[2025-10-05T18:24:06.988409] Iteration 12/50 | FPS=1 | Status=200
[2025-10-05T18:24:08.075913] Iteration 13/50 | FPS=1 | Status=200
[2025-10-05T18:24:09.128488] Iteration 14/50 | FPS=1 | Status=200
[2025-10-05T18:24:10.264670] Iteration 15/50 | FPS=1 | Status=200
[2025-10-05T18:24:11.344448] Iteration 16/50 | FPS=1 | Status=200
[2025-10-05T18:24:12.622788] Iteration 17/50 | FPS=1 | Status=200
[2025-10-05T18:24:13.817963] Iteration 18/50 | FPS=1 | Status=200
[2025-10-05T18:24:15.069968] Iteration 19/50 | FPS=1 | Status=200
[2025-10-05T18:24:16.337621] Iteration 20/50 | FPS=1 | Status=200
[2025-10-05T18:24:17.457774] Iteration 21/50 | FPS=1 | Status=200
[2025-10-05T18:24:18.542449] Iteration 22/50 | FPS=1 | Status=200
[2025-10-05T18:24:19.623569] Iteration 23/50 | FPS=1 | Status=200
[2025-10-05T18:24:20.705714] Iteration 24/50 | FPS=1 | Status=200
[2025-10-05T18:24:21.919465] Iteration 25/50 | FPS=1 | Status=200
[2025-10-05T18:24:23.177101] Iteration 26/50 | FPS=1 | Status=200
[2025-10-05T18:24:24.445400] Iteration 27/50 | FPS=1 | Status=200
[2025-10-05T18:24:25.764628] Iteration 28/50 | FPS=1 | Status=200
[2025-10-05T18:24:27.065519] Iteration 29/50 | FPS=1 | Status=200
[2025-10-05T18:24:28.269519] Iteration 30/50 | FPS=1 | Status=200
[2025-10-05T18:24:29.367299] Iteration 31/50 | FPS=1 | Status=200
[2025-10-05T18:24:30.413969] Iteration 32/50 | FPS=1 | Status=200
[2025-10-05T18:24:31.262690] Iteration 33/50 | FPS=1 | Status=200
[2025-10-05T18:24:32.132520] Iteration 34/50 | FPS=1 | Status=200
[2025-10-05T18:24:33.062801] Iteration 35/50 | FPS=1 | Status=200
[2025-10-05T18:24:34.045569] Iteration 36/50 | FPS=1 | Status=200
[2025-10-05T18:24:35.006020] Iteration 37/50 | FPS=1 | Status=200
[2025-10-05T18:24:35.931156] Iteration 38/50 | FPS=1 | Status=200
[2025-10-05T18:24:37.100206] Iteration 39/50 | FPS=1 | Status=200
[2025-10-05T18:24:38.192555] Iteration 40/50 | FPS=1 | Status=200
[2025-10-05T18:24:39.261650] Iteration 41/50 | FPS=1 | Status=200
[2025-10-05T18:24:40.384685] Iteration 42/50 | FPS=1 | Status=200
[2025-10-05T18:24:41.458585] Iteration 43/50 | FPS=1 | Status=200
[2025-10-05T18:24:42.523834] Iteration 44/50 | FPS=1 | Status=200
[2025-10-05T18:24:43.806692] Iteration 45/50 | FPS=1 | Status=200
[2025-10-05T18:24:45.107349] Iteration 46/50 | FPS=1 | Status=200
[2025-10-05T18:24:46.431299] Iteration 47/50 | FPS=1 | Status=200
[2025-10-05T18:24:47.807702] Iteration 48/50 | FPS=1 | Status=200
[2025-10-05T18:24:48.930492] Iteration 49/50 | FPS=1 | Status=200
[2025-10-05T18:24:50.107222] Iteration 50/50 | FPS=1 | Status=200
[2025-10-05T18:24:50.157621] Finished test at 1 FPS in 57.93 seconds
[2025-10-05T18:24:50.157621] 
=== Starting test at 5 FPS ===
[2025-10-05T18:24:55.088973] Iteration 1/50 | FPS=5 | Status=200
[2025-10-05T18:25:00.092710] Iteration 2/50 | FPS=5 | Status=200
[2025-10-05T18:25:05.103758] Iteration 3/50 | FPS=5 | Status=200
[2025-10-05T18:25:10.134536] Iteration 4/50 | FPS=5 | Status=200
[2025-10-05T18:25:15.133232] Iteration 5/50 | FPS=5 | Status=200
[2025-10-05T18:25:20.016553] Iteration 6/50 | FPS=5 | Status=200
[2025-10-05T18:25:25.167231] Iteration 7/50 | FPS=5 | Status=200
[2025-10-05T18:25:30.088266] Iteration 8/50 | FPS=5 | Status=200
[2025-10-05T18:25:35.065691] Iteration 9/50 | FPS=5 | Status=200
[2025-10-05T18:25:40.074623] Iteration 10/50 | FPS=5 | Status=200
[2025-10-05T18:25:45.054655] Iteration 11/50 | FPS=5 | Status=200
[2025-10-05T18:25:50.391579] Iteration 12/50 | FPS=5 | Status=200
[2025-10-05T18:25:55.558782] Iteration 13/50 | FPS=5 | Status=200
[2025-10-05T18:26:00.395000] Iteration 14/50 | FPS=5 | Status=200
[2025-10-05T18:26:05.399420] Iteration 15/50 | FPS=5 | Status=200
[2025-10-05T18:26:10.405117] Iteration 16/50 | FPS=5 | Status=200
[2025-10-05T18:26:14.090826] Iteration 17/50 | FPS=5 | Status=200
[2025-10-05T18:26:18.995252] Iteration 18/50 | FPS=5 | Status=200
[2025-10-05T18:26:24.555615] Iteration 19/50 | FPS=5 | Status=200
[2025-10-05T18:26:30.330581] Iteration 20/50 | FPS=5 | Status=200
[2025-10-05T18:26:35.633479] Iteration 21/50 | FPS=5 | Status=200
[2025-10-05T18:26:39.958938] Iteration 22/50 | FPS=5 | Status=200
[2025-10-05T18:26:43.928903] Iteration 23/50 | FPS=5 | Status=200
[2025-10-05T18:26:48.072265] Iteration 24/50 | FPS=5 | Status=200
[2025-10-05T18:26:52.106329] Iteration 25/50 | FPS=5 | Status=200
[2025-10-05T18:26:56.295282] Iteration 26/50 | FPS=5 | Status=200
[2025-10-05T18:27:00.409797] Iteration 27/50 | FPS=5 | Status=200
[2025-10-05T18:27:04.223863] Iteration 28/50 | FPS=5 | Status=200
[2025-10-05T18:27:09.191527] Iteration 29/50 | FPS=5 | Status=200
[2025-10-05T18:27:13.704028] Iteration 30/50 | FPS=5 | Status=200
[2025-10-05T18:27:18.384890] Iteration 31/50 | FPS=5 | Status=200
[2025-10-05T18:27:23.337607] Iteration 32/50 | FPS=5 | Status=200
[2025-10-05T18:27:27.754362] Iteration 33/50 | FPS=5 | Status=200
[2025-10-05T18:27:31.742652] Iteration 34/50 | FPS=5 | Status=200
[2025-10-05T18:27:35.529703] Iteration 35/50 | FPS=5 | Status=200
[2025-10-05T18:27:39.473355] Iteration 36/50 | FPS=5 | Status=200
[2025-10-05T18:27:43.562897] Iteration 37/50 | FPS=5 | Status=200
[2025-10-05T18:27:47.678559] Iteration 38/50 | FPS=5 | Status=200
[2025-10-05T18:27:51.826998] Iteration 39/50 | FPS=5 | Status=200
[2025-10-05T18:27:55.897648] Iteration 40/50 | FPS=5 | Status=200
[2025-10-05T18:28:30.539689] Iteration 41/50 | FPS=5 | Status=500
[2025-10-05T18:28:35.341648] Iteration 42/50 | FPS=5 | Status=200
[2025-10-05T18:28:40.133783] Iteration 43/50 | FPS=5 | Status=200
[2025-10-05T18:28:45.072898] Iteration 44/50 | FPS=5 | Status=200
[2025-10-05T18:28:49.842004] Iteration 45/50 | FPS=5 | Status=200
[2025-10-05T18:28:54.615746] Iteration 46/50 | FPS=5 | Status=200
[2025-10-05T18:28:59.442420] Iteration 47/50 | FPS=5 | Status=200
[2025-10-05T18:29:34.118325] Iteration 48/50 | FPS=5 | Status=500
[2025-10-05T18:29:38.843946] Iteration 49/50 | FPS=5 | Status=200
[2025-10-05T18:29:43.588176] Iteration 50/50 | FPS=5 | Status=200
[2025-10-05T18:29:43.638936] Finished test at 5 FPS in 293.48 seconds
[2025-10-05T18:29:43.638936] 
=== Starting test at 10 FPS ===
[2025-10-05T18:29:52.660895] Iteration 1/50 | FPS=10 | Status=200
[2025-10-05T18:30:01.784276] Iteration 2/50 | FPS=10 | Status=200
[2025-10-05T18:30:11.350150] Iteration 3/50 | FPS=10 | Status=200
[2025-10-05T18:30:20.704330] Iteration 4/50 | FPS=10 | Status=200
[2025-10-05T18:30:29.884690] Iteration 5/50 | FPS=10 | Status=200
[2025-10-05T18:30:38.472552] Iteration 6/50 | FPS=10 | Status=200
[2025-10-05T18:30:47.762519] Iteration 7/50 | FPS=10 | Status=200
[2025-10-05T18:30:57.479340] Iteration 8/50 | FPS=10 | Status=200
[2025-10-05T18:31:06.984688] Iteration 9/50 | FPS=10 | Status=200
[2025-10-05T18:31:18.026590] Iteration 10/50 | FPS=10 | Status=200
[2025-10-05T18:31:26.552254] Iteration 11/50 | FPS=10 | Status=200
[2025-10-05T18:31:34.063244] Iteration 12/50 | FPS=10 | Status=200
[2025-10-05T18:31:41.564337] Iteration 13/50 | FPS=10 | Status=200
[2025-10-05T18:31:49.035616] Iteration 14/50 | FPS=10 | Status=200
[2025-10-05T18:31:56.480547] Iteration 15/50 | FPS=10 | Status=200
[2025-10-05T18:32:05.079392] Iteration 16/50 | FPS=10 | Status=200
[2025-10-05T18:32:14.288155] Iteration 17/50 | FPS=10 | Status=200
[2025-10-05T18:32:23.928780] Iteration 18/50 | FPS=10 | Status=200
[2025-10-05T18:32:34.120209] Iteration 19/50 | FPS=10 | Status=200
[2025-10-05T18:32:44.336423] Iteration 20/50 | FPS=10 | Status=200
[2025-10-05T18:32:54.773874] Iteration 21/50 | FPS=10 | Status=200
[2025-10-05T18:33:04.114971] Iteration 22/50 | FPS=10 | Status=200
[2025-10-05T18:33:13.856779] Iteration 23/50 | FPS=10 | Status=200
[2025-10-05T18:33:23.355033] Iteration 24/50 | FPS=10 | Status=200
[2025-10-05T18:33:30.840643] Iteration 25/50 | FPS=10 | Status=200
[2025-10-05T18:33:38.309993] Iteration 26/50 | FPS=10 | Status=200
[2025-10-05T18:33:45.813066] Iteration 27/50 | FPS=10 | Status=200
[2025-10-05T18:33:53.501254] Iteration 28/50 | FPS=10 | Status=200
[2025-10-05T18:34:00.999433] Iteration 29/50 | FPS=10 | Status=200
[2025-10-05T18:34:08.477428] Iteration 30/50 | FPS=10 | Status=200
[2025-10-05T18:34:15.967759] Iteration 31/50 | FPS=10 | Status=200
[2025-10-05T18:34:23.491422] Iteration 32/50 | FPS=10 | Status=200
[2025-10-05T18:34:31.155441] Iteration 33/50 | FPS=10 | Status=200
[2025-10-05T18:34:38.568112] Iteration 34/50 | FPS=10 | Status=200
[2025-10-05T18:34:46.037983] Iteration 35/50 | FPS=10 | Status=200
[2025-10-05T18:34:53.511897] Iteration 36/50 | FPS=10 | Status=200
[2025-10-05T18:35:00.982842] Iteration 37/50 | FPS=10 | Status=200
[2025-10-05T18:35:08.602251] Iteration 38/50 | FPS=10 | Status=200
[2025-10-05T18:35:16.071098] Iteration 39/50 | FPS=10 | Status=200
[2025-10-05T18:35:23.507199] Iteration 40/50 | FPS=10 | Status=200
[2025-10-05T18:35:30.966627] Iteration 41/50 | FPS=10 | Status=200
[2025-10-05T18:35:38.522385] Iteration 42/50 | FPS=10 | Status=200
[2025-10-05T18:35:46.155181] Iteration 43/50 | FPS=10 | Status=200
[2025-10-05T18:35:53.618981] Iteration 44/50 | FPS=10 | Status=200
[2025-10-05T18:36:01.077858] Iteration 45/50 | FPS=10 | Status=200
[2025-10-05T18:36:08.631309] Iteration 46/50 | FPS=10 | Status=200
[2025-10-05T18:36:16.192716] Iteration 47/50 | FPS=10 | Status=200
[2025-10-05T18:36:23.893463] Iteration 48/50 | FPS=10 | Status=200
[2025-10-05T18:36:31.394947] Iteration 49/50 | FPS=10 | Status=200
[2025-10-05T18:36:38.871453] Iteration 50/50 | FPS=10 | Status=200
[2025-10-05T18:36:38.921928] Finished test at 10 FPS in 415.28 seconds
[2025-10-05T18:36:38.921928] 
=== Starting test at 20 FPS ===
[2025-10-05T18:36:54.768614] Iteration 1/50 | FPS=20 | Status=200
[2025-10-05T18:37:10.314001] Iteration 2/50 | FPS=20 | Status=200
[2025-10-05T18:37:27.744697] Iteration 3/50 | FPS=20 | Status=200
[2025-10-05T18:37:46.305293] Iteration 4/50 | FPS=20 | Status=200
[2025-10-05T18:38:04.721726] Iteration 5/50 | FPS=20 | Status=200
[2025-10-05T18:38:24.029522] Iteration 6/50 | FPS=20 | Status=200
[2025-10-05T18:38:41.477454] Iteration 7/50 | FPS=20 | Status=200
[2025-10-05T18:38:57.222286] Iteration 8/50 | FPS=20 | Status=200
[2025-10-05T18:39:12.182003] Iteration 9/50 | FPS=20 | Status=200
[2025-10-05T18:39:27.028169] Iteration 10/50 | FPS=20 | Status=200
[2025-10-05T18:39:41.842397] Iteration 11/50 | FPS=20 | Status=200
[2025-10-05T18:39:56.627701] Iteration 12/50 | FPS=20 | Status=200
[2025-10-05T18:40:11.424714] Iteration 13/50 | FPS=20 | Status=200
[2025-10-05T18:40:26.229134] Iteration 14/50 | FPS=20 | Status=200
[2025-10-05T18:40:40.904481] Iteration 15/50 | FPS=20 | Status=200
[2025-10-05T18:40:55.729035] Iteration 16/50 | FPS=20 | Status=200
[2025-10-05T18:41:10.764080] Iteration 17/50 | FPS=20 | Status=200
[2025-10-05T18:41:25.651490] Iteration 18/50 | FPS=20 | Status=200
[2025-10-05T18:41:40.419379] Iteration 19/50 | FPS=20 | Status=200
[2025-10-05T18:41:55.123462] Iteration 20/50 | FPS=20 | Status=200
[2025-10-05T18:42:09.805290] Iteration 21/50 | FPS=20 | Status=200
[2025-10-05T18:42:24.590022] Iteration 22/50 | FPS=20 | Status=200
[2025-10-05T18:42:39.317709] Iteration 23/50 | FPS=20 | Status=200
[2025-10-05T18:42:55.031366] Iteration 24/50 | FPS=20 | Status=200
[2025-10-05T18:43:10.654460] Iteration 25/50 | FPS=20 | Status=200
[2025-10-05T18:43:26.479004] Iteration 26/50 | FPS=20 | Status=200
[2025-10-05T18:43:42.112667] Iteration 27/50 | FPS=20 | Status=200
[2025-10-05T18:43:58.098269] Iteration 28/50 | FPS=20 | Status=200
[2025-10-05T18:44:14.412518] Iteration 29/50 | FPS=20 | Status=200
