epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.50894,0.70606,1.30944,1.23681,0.90831,0.86318,0.96759,0.73901,1.21005,0.65493,1.22538,0,0,0
2,11.6679,0.74833,1.42625,1.25418,0.90807,0.86499,0.96813,0.74226,1.20613,0.65532,1.2215,1.17822e-06,1.17822e-06,1.17822e-06
3,17.7362,0.74748,1.44687,1.3001,0.90553,0.86905,0.96876,0.7424,1.20811,0.66009,1.21986,2.33288e-06,2.33288e-06,2.33288e-06
4,23.8858,1.00099,1.24549,1.83055,0.90197,0.87085,0.96811,0.7376,1.21462,0.67504,1.22065,3.46397e-06,3.46397e-06,3.46397e-06
5,29.9788,0.98244,2.02615,1.61659,0.89675,0.87076,0.96872,0.73661,1.2138,0.66941,1.22269,4.5715e-06,4.5715e-06,4.5715e-06
6,36.6843,0.69012,1.42181,1.12992,0.8939,0.871,0.96873,0.73232,1.21436,0.67458,1.2212,5.65548e-06,5.65548e-06,5.65548e-06
7,43.3333,0.74231,1.08437,1.21181,0.89587,0.87064,0.96772,0.72189,1.21294,0.68303,1.21651,6.71588e-06,6.71588e-06,6.71588e-06
8,50.0419,0.59401,1.22504,1.11751,0.90051,0.87078,0.96732,0.72962,1.19696,0.67765,1.20615,7.75273e-06,7.75273e-06,7.75273e-06
9,56.4054,0.81387,1.89137,1.26845,0.90284,0.87076,0.96856,0.74263,1.20322,0.68953,1.20719,8.76602e-06,8.76602e-06,8.76602e-06
10,62.6404,0.75486,0.58476,1.12861,0.9114,0.86979,0.96948,0.74085,1.19,0.68035,1.20183,9.75574e-06,9.75574e-06,9.75574e-06
11,69.0741,0.75541,1.35736,1.12232,0.91401,0.8709,0.96826,0.74079,1.18809,0.68197,1.20254,1.07219e-05,1.07219e-05,1.07219e-05
12,75.3124,0.68554,0.74664,1.13705,0.90347,0.87193,0.96829,0.74119,1.19495,0.69836,1.20336,1.16645e-05,1.16645e-05,1.16645e-05
13,81.4114,0.69659,0.55642,1.16862,0.89366,0.86738,0.9683,0.75012,1.19955,0.7024,1.2049,1.25835e-05,1.25835e-05,1.25835e-05
14,87.7446,0.63815,0.70285,1.08316,0.89824,0.87587,0.96958,0.75121,1.19284,0.69831,1.20285,1.3479e-05,1.3479e-05,1.3479e-05
15,94.1189,0.73614,0.53225,1.26181,0.89105,0.87137,0.96861,0.75314,1.20809,0.71602,1.20776,1.43509e-05,1.43509e-05,1.43509e-05
16,100.412,0.85857,0.73377,1.46259,0.86993,0.83791,0.94085,0.74359,1.21945,0.7294,1.21298,1.51993e-05,1.51993e-05,1.51993e-05
17,106.601,0.88918,0.5775,1.49394,0.87593,0.8418,0.94084,0.73596,1.21664,0.72828,1.21349,1.60241e-05,1.60241e-05,1.60241e-05
18,112.702,0.73174,0.55243,1.18724,0.87593,0.8418,0.94084,0.73596,1.21664,0.72828,1.21349,1.68253e-05,1.68253e-05,1.68253e-05
19,118.954,0.7293,0.43864,1.158,0.88705,0.84671,0.94257,0.73414,1.25999,0.75301,1.23383,1.7603e-05,1.7603e-05,1.7603e-05
20,125.054,0.70236,0.47075,1.19951,0.88705,0.84671,0.94257,0.73414,1.25999,0.75301,1.23383,1.83571e-05,1.83571e-05,1.83571e-05
21,131.441,0.79069,0.89995,1.35775,0.87801,0.82635,0.94086,0.71921,1.27504,0.76083,1.24766,1.90876e-05,1.90876e-05,1.90876e-05
22,137.546,0.58455,0.50284,1.29384,0.87801,0.82635,0.94086,0.71921,1.27504,0.76083,1.24766,1.97946e-05,1.97946e-05,1.97946e-05
23,143.806,0.70656,0.49991,1.15158,0.89712,0.854,0.96744,0.73821,1.323,0.77275,1.27142,2.0478e-05,2.0478e-05,2.0478e-05
24,149.831,0.67327,0.40645,1.23955,0.89712,0.854,0.96744,0.73821,1.323,0.77275,1.27142,2.11379e-05,2.11379e-05,2.11379e-05
25,156.388,0.65126,0.64724,1.21529,0.90316,0.84538,0.96873,0.69239,1.37243,0.82283,1.29803,2.17741e-05,2.17741e-05,2.17741e-05
26,162.516,0.71448,0.59095,1.35114,0.90316,0.84538,0.96873,0.69239,1.37243,0.82283,1.29803,2.23869e-05,2.23869e-05,2.23869e-05
27,168.712,0.58512,0.55459,1.15611,0.92502,0.84773,0.96872,0.66969,1.40019,0.85948,1.31755,2.2976e-05,2.2976e-05,2.2976e-05
28,175.154,0.63771,0.49946,1.15679,0.92502,0.84773,0.96872,0.66969,1.40019,0.85948,1.31755,2.35417e-05,2.35417e-05,2.35417e-05
29,181.627,0.64407,0.4489,1.07835,0.89943,0.8048,0.9394,0.63797,1.4325,0.90022,1.34109,2.40837e-05,2.40837e-05,2.40837e-05
30,187.692,0.47689,0.40621,1.03061,0.89943,0.8048,0.9394,0.63797,1.4325,0.90022,1.34109,2.46022e-05,2.46022e-05,2.46022e-05
31,194.277,0.55881,0.37056,1.0868,0.89271,0.80921,0.92558,0.63957,1.45827,0.94106,1.3634,2.50971e-05,2.50971e-05,2.50971e-05
32,200.764,0.52848,0.44503,1.02237,0.89271,0.80921,0.92558,0.63957,1.45827,0.94106,1.3634,2.55685e-05,2.55685e-05,2.55685e-05
33,207.063,0.54756,0.41605,1.06128,0.88849,0.81785,0.92376,0.63004,1.50828,1.00172,1.39352,2.60163e-05,2.60163e-05,2.60163e-05
34,213.272,0.58802,0.53952,1.2326,0.88849,0.81785,0.92376,0.63004,1.50828,1.00172,1.39352,2.64405e-05,2.64405e-05,2.64405e-05
35,219.775,0.52857,0.37288,1.00623,0.89118,0.85,0.9227,0.63118,1.53756,1.03089,1.41779,2.68412e-05,2.68412e-05,2.68412e-05
36,225.998,0.49884,0.39235,1.02681,0.89118,0.85,0.9227,0.63118,1.53756,1.03089,1.41779,2.72183e-05,2.72183e-05,2.72183e-05
37,233.123,0.46196,0.54349,1.12021,0.82802,0.85,0.90491,0.61012,1.53717,1.07603,1.41533,2.75718e-05,2.75718e-05,2.75718e-05
38,240.038,0.57,0.46154,1.09895,0.82802,0.85,0.90491,0.61012,1.53717,1.07603,1.41533,2.79018e-05,2.79018e-05,2.79018e-05
39,247.406,0.5899,0.6415,1.1949,0.76196,0.85,0.90406,0.55549,1.53119,1.1183,1.41733,2.82082e-05,2.82082e-05,2.82082e-05
40,254.43,0.42871,0.56798,1.0252,0.76196,0.85,0.90406,0.55549,1.53119,1.1183,1.41733,2.84911e-05,2.84911e-05,2.84911e-05
41,261.449,0.55076,0.46245,1.02407,0.74331,0.85,0.90403,0.54473,1.52889,1.10041,1.42087,2.87504e-05,2.87504e-05,2.87504e-05
42,268.555,0.66622,0.37896,1.18035,0.74331,0.85,0.90403,0.54473,1.52889,1.10041,1.42087,2.89861e-05,2.89861e-05,2.89861e-05
43,276.703,0.30488,0.53118,1.0705,0.70181,0.85,0.90409,0.60754,1.5287,1.12619,1.42321,2.91983e-05,2.91983e-05,2.91983e-05
44,283.596,0.67341,0.4851,1.18128,0.70181,0.85,0.90409,0.60754,1.5287,1.12619,1.42321,2.93869e-05,2.93869e-05,2.93869e-05
45,290.796,0.43251,0.36305,1.05648,0.66904,0.86024,0.90015,0.58868,1.55102,1.14481,1.43816,2.9552e-05,2.9552e-05,2.9552e-05
46,297.756,0.564,0.3297,1.1312,0.66904,0.86024,0.90015,0.58868,1.55102,1.14481,1.43816,2.96935e-05,2.96935e-05,2.96935e-05
47,304.748,0.478,0.41463,0.99431,0.66146,0.88333,0.89792,0.5873,1.56531,1.15972,1.44837,2.98114e-05,2.98114e-05,2.98114e-05
48,311.508,0.46569,0.3713,0.99069,0.66146,0.88333,0.89792,0.5873,1.56531,1.15972,1.44837,2.99058e-05,2.99058e-05,2.99058e-05
49,318.694,0.57721,0.38214,1.05437,0.67328,0.88333,0.89983,0.58988,1.54234,1.19165,1.43906,2.99766e-05,2.99766e-05,2.99766e-05
50,324.796,0.42355,0.3525,0.94755,0.67328,0.88333,0.89983,0.58988,1.54234,1.19165,1.43906,3.00238e-05,3.00238e-05,3.00238e-05
51,331.065,0.53766,0.40642,1.06152,0.77692,0.71477,0.90375,0.60842,1.5326,1.22299,1.44031,3.00475e-05,3.00475e-05,3.00475e-05
52,337.307,0.58097,0.42755,1.04197,0.77692,0.71477,0.90375,0.60842,1.5326,1.22299,1.44031,3.00476e-05,3.00476e-05,3.00476e-05
53,343.359,0.39597,0.35653,1.03744,0.77692,0.71477,0.90375,0.60842,1.5326,1.22299,1.44031,3.00242e-05,3.00242e-05,3.00242e-05
54,349.591,0.44033,0.39967,1.01627,0.90506,0.66448,0.90612,0.60172,1.52783,1.28443,1.4283,2.99772e-05,2.99772e-05,2.99772e-05
55,355.695,0.42333,0.36411,0.92636,0.90506,0.66448,0.90612,0.60172,1.52783,1.28443,1.4283,2.99066e-05,2.99066e-05,2.99066e-05
56,361.796,0.4417,0.41718,0.94379,0.90506,0.66448,0.90612,0.60172,1.52783,1.28443,1.4283,2.98125e-05,2.98125e-05,2.98125e-05
57,368.056,0.44922,0.41305,0.96213,0.88549,0.67062,0.90427,0.62964,1.53008,1.2875,1.42524,2.96948e-05,2.96948e-05,2.96948e-05
58,374.029,0.46332,0.3446,1.00127,0.88549,0.67062,0.90427,0.62964,1.53008,1.2875,1.42524,2.95535e-05,2.95535e-05,2.95535e-05
59,380.306,0.481,0.37248,0.99074,0.88549,0.67062,0.90427,0.62964,1.53008,1.2875,1.42524,2.93887e-05,2.93887e-05,2.93887e-05
60,386.55,0.63246,0.4574,1.1611,0.93682,0.66998,0.91532,0.62033,1.59329,1.33726,1.45455,2.92003e-05,2.92003e-05,2.92003e-05
61,392.604,0.3472,0.37683,0.92895,0.93682,0.66998,0.91532,0.62033,1.59329,1.33726,1.45455,2.89884e-05,2.89884e-05,2.89884e-05
62,398.883,0.46521,0.36774,1.05222,0.93682,0.66998,0.91532,0.62033,1.59329,1.33726,1.45455,2.87529e-05,2.87529e-05,2.87529e-05
63,405.094,0.6959,0.65685,1.26421,0.92225,0.67942,0.91578,0.63817,1.65298,1.36523,1.49965,2.84938e-05,2.84938e-05,2.84938e-05
64,411.104,0.47501,0.39325,0.95144,0.92225,0.67942,0.91578,0.63817,1.65298,1.36523,1.49965,2.82112e-05,2.82112e-05,2.82112e-05
65,417.09,0.36762,0.29304,0.95349,0.92225,0.67942,0.91578,0.63817,1.65298,1.36523,1.49965,2.7905e-05,2.7905e-05,2.7905e-05
66,423.682,0.35072,0.27482,1.00567,0.89902,0.69637,0.91536,0.63226,1.71584,1.44851,1.549,2.75753e-05,2.75753e-05,2.75753e-05
67,429.743,0.3936,0.27998,0.90597,0.89902,0.69637,0.91536,0.63226,1.71584,1.44851,1.549,2.7222e-05,2.7222e-05,2.7222e-05
68,435.731,0.55265,0.42012,1.07445,0.89902,0.69637,0.91536,0.63226,1.71584,1.44851,1.549,2.68451e-05,2.68451e-05,2.68451e-05
69,442.155,0.42061,0.34135,0.97201,0.87636,0.71667,0.91571,0.62838,1.69703,1.46874,1.54386,2.64447e-05,2.64447e-05,2.64447e-05
70,448.181,0.47097,0.39771,0.98133,0.87636,0.71667,0.91571,0.62838,1.69703,1.46874,1.54386,2.60207e-05,2.60207e-05,2.60207e-05
71,454.158,0.33747,0.34378,0.88386,0.87636,0.71667,0.91571,0.62838,1.69703,1.46874,1.54386,2.55731e-05,2.55731e-05,2.55731e-05
72,460.711,0.26793,0.24233,0.88349,0.83173,0.71667,0.91629,0.66873,1.69839,1.5022,1.5504,2.5102e-05,2.5102e-05,2.5102e-05
73,466.824,0.41341,0.3735,0.97875,0.83173,0.71667,0.91629,0.66873,1.69839,1.5022,1.5504,2.46073e-05,2.46073e-05,2.46073e-05
74,472.864,0.39035,0.34555,0.94339,0.83173,0.71667,0.91629,0.66873,1.69839,1.5022,1.5504,2.40891e-05,2.40891e-05,2.40891e-05
75,479.428,0.6227,0.39348,1.25201,0.82979,0.71667,0.92249,0.62424,1.68489,1.53727,1.54922,2.35472e-05,2.35472e-05,2.35472e-05
76,485.721,0.3382,0.27016,0.89313,0.82979,0.71667,0.92249,0.62424,1.68489,1.53727,1.54922,2.29819e-05,2.29819e-05,2.29819e-05
77,491.818,0.46741,0.30672,0.98561,0.82979,0.71667,0.92249,0.62424,1.68489,1.53727,1.54922,2.23929e-05,2.23929e-05,2.23929e-05
78,498.137,0.43821,0.46389,0.99985,0.83042,0.71667,0.9308,0.623,1.6688,1.58375,1.54084,2.17805e-05,2.17805e-05,2.17805e-05
79,504.312,0.32573,0.2665,0.89283,0.83042,0.71667,0.9308,0.623,1.6688,1.58375,1.54084,2.11444e-05,2.11444e-05,2.11444e-05
80,510.435,0.38966,0.35212,0.90246,0.83042,0.71667,0.9308,0.623,1.6688,1.58375,1.54084,2.04848e-05,2.04848e-05,2.04848e-05
81,516.641,0.45539,0.35536,1.06394,0.83506,0.71667,0.92249,0.62146,1.65212,1.60981,1.53061,1.98016e-05,1.98016e-05,1.98016e-05
82,522.852,0.29087,0.24281,0.88588,0.83506,0.71667,0.92249,0.62146,1.65212,1.60981,1.53061,1.90949e-05,1.90949e-05,1.90949e-05
