[2025-11-20T23:51:31.406471] 
=== Starting test at 1 FPS ===
[2025-11-20T23:51:32.698285] Iteration 1/60 | FPS=1 | Status=200
[2025-11-20T23:51:34.514031] Iteration 2/60 | FPS=1 | Status=200
[2025-11-20T23:51:36.291224] Iteration 3/60 | FPS=1 | Status=200
[2025-11-20T23:51:38.133658] Iteration 4/60 | FPS=1 | Status=200
[2025-11-20T23:51:40.106806] Iteration 5/60 | FPS=1 | Status=200
[2025-11-20T23:51:41.932400] Iteration 6/60 | FPS=1 | Status=200
[2025-11-20T23:51:43.707100] Iteration 7/60 | FPS=1 | Status=200
[2025-11-20T23:51:45.432551] Iteration 8/60 | FPS=1 | Status=200
[2025-11-20T23:51:47.155815] Iteration 9/60 | FPS=1 | Status=200
[2025-11-20T23:51:48.998452] Iteration 10/60 | FPS=1 | Status=200
[2025-11-20T23:51:50.813514] Iteration 11/60 | FPS=1 | Status=200
[2025-11-20T23:51:52.668308] Iteration 12/60 | FPS=1 | Status=200
[2025-11-20T23:51:54.454536] Iteration 13/60 | FPS=1 | Status=200
[2025-11-20T23:51:56.377205] Iteration 14/60 | FPS=1 | Status=200
[2025-11-20T23:51:58.143525] Iteration 15/60 | FPS=1 | Status=200
[2025-11-20T23:51:59.839050] Iteration 16/60 | FPS=1 | Status=200
[2025-11-20T23:52:01.548324] Iteration 17/60 | FPS=1 | Status=200
[2025-11-20T23:52:03.266467] Iteration 18/60 | FPS=1 | Status=200
[2025-11-20T23:52:04.979575] Iteration 19/60 | FPS=1 | Status=200
[2025-11-20T23:52:06.675709] Iteration 20/60 | FPS=1 | Status=200
[2025-11-20T23:52:08.477095] Iteration 21/60 | FPS=1 | Status=200
[2025-11-20T23:52:10.192777] Iteration 22/60 | FPS=1 | Status=200
[2025-11-20T23:52:11.969675] Iteration 23/60 | FPS=1 | Status=200
[2025-11-20T23:52:13.839782] Iteration 24/60 | FPS=1 | Status=200
[2025-11-20T23:52:15.797538] Iteration 25/60 | FPS=1 | Status=200
[2025-11-20T23:52:17.503936] Iteration 26/60 | FPS=1 | Status=200
[2025-11-20T23:52:19.303237] Iteration 27/60 | FPS=1 | Status=200
[2025-11-20T23:52:21.190368] Iteration 28/60 | FPS=1 | Status=200
[2025-11-20T23:52:23.006247] Iteration 29/60 | FPS=1 | Status=200
[2025-11-20T23:52:24.834465] Iteration 30/60 | FPS=1 | Status=200
[2025-11-20T23:52:26.714424] Iteration 31/60 | FPS=1 | Status=200
[2025-11-20T23:52:28.619448] Iteration 32/60 | FPS=1 | Status=200
[2025-11-20T23:52:30.330573] Iteration 33/60 | FPS=1 | Status=200
[2025-11-20T23:52:32.043590] Iteration 34/60 | FPS=1 | Status=200
[2025-11-20T23:52:34.015472] Iteration 35/60 | FPS=1 | Status=200
[2025-11-20T23:52:35.872055] Iteration 36/60 | FPS=1 | Status=200
[2025-11-20T23:52:37.704439] Iteration 37/60 | FPS=1 | Status=200
[2025-11-20T23:52:39.574163] Iteration 38/60 | FPS=1 | Status=200
[2025-11-20T23:52:41.435262] Iteration 39/60 | FPS=1 | Status=200
[2025-11-20T23:52:43.333316] Iteration 40/60 | FPS=1 | Status=200
[2025-11-20T23:52:45.129446] Iteration 41/60 | FPS=1 | Status=200
[2025-11-20T23:52:46.896509] Iteration 42/60 | FPS=1 | Status=200
[2025-11-20T23:52:48.751141] Iteration 43/60 | FPS=1 | Status=200
[2025-11-20T23:52:50.616911] Iteration 44/60 | FPS=1 | Status=200
[2025-11-20T23:52:52.508737] Iteration 45/60 | FPS=1 | Status=200
[2025-11-20T23:52:54.648300] Iteration 46/60 | FPS=1 | Status=200
[2025-11-20T23:52:56.485621] Iteration 47/60 | FPS=1 | Status=200
[2025-11-20T23:52:58.276192] Iteration 48/60 | FPS=1 | Status=200
[2025-11-20T23:53:00.164085] Iteration 49/60 | FPS=1 | Status=200
[2025-11-20T23:53:02.098200] Iteration 50/60 | FPS=1 | Status=200
[2025-11-20T23:53:04.009556] Iteration 51/60 | FPS=1 | Status=200
[2025-11-20T23:53:05.861147] Iteration 52/60 | FPS=1 | Status=200
[2025-11-20T23:53:07.683234] Iteration 53/60 | FPS=1 | Status=200
[2025-11-20T23:53:09.516204] Iteration 54/60 | FPS=1 | Status=200
[2025-11-20T23:53:11.565414] Iteration 55/60 | FPS=1 | Status=200
[2025-11-20T23:53:13.425966] Iteration 56/60 | FPS=1 | Status=200
[2025-11-20T23:53:15.215186] Iteration 57/60 | FPS=1 | Status=200
[2025-11-20T23:53:17.159126] Iteration 58/60 | FPS=1 | Status=200
[2025-11-20T23:53:18.957099] Iteration 59/60 | FPS=1 | Status=200
[2025-11-20T23:53:20.986665] Iteration 60/60 | FPS=1 | Status=200
[2025-11-20T23:53:21.987015] Finished test at 1 FPS in 110.58 seconds
[2025-11-20T23:53:21.987137] 
=== Starting test at 5 FPS ===
[2025-11-20T23:53:22.931240] Iteration 1/60 | FPS=5 | Status=200
[2025-11-20T23:53:24.127674] Iteration 2/60 | FPS=5 | Status=200
