[2025-11-05T10:38:14.614018] [Sender 2] === Sender thread 2 started ===
[2025-11-05T10:38:14.614018] [Sender 2] === Starting network test ===
[2025-11-05T10:38:37.441923] [Sender 2] Ping to 8.8.8.8: 16.39 ms
[2025-11-05T10:38:37.441923] [Sender 2] Download Speed: 17.21 Mbps
[2025-11-05T10:38:37.442794] [Sender 2] Upload Speed: 18.86 Mbps
[2025-11-05T10:38:37.442794] [Sender 2] 
=== Starting test at 1 FPS ===
[2025-11-05T10:38:39.643147] [Sender 2] Iteration 1/30 | FPS=1 | ReqID=180 | Status=200
[2025-11-05T10:38:41.987089] [Sender 2] Iteration 2/30 | FPS=1 | ReqID=181 | Status=200
[2025-11-05T10:38:44.440525] [Sender 2] Iteration 3/30 | FPS=1 | ReqID=182 | Status=200
[2025-11-05T10:38:47.049604] [Sender 2] Iteration 4/30 | FPS=1 | ReqID=183 | Status=200
[2025-11-05T10:38:49.888969] [Sender 2] Iteration 5/30 | FPS=1 | ReqID=184 | Status=200
[2025-11-05T10:38:52.364763] [Sender 2] Iteration 6/30 | FPS=1 | ReqID=185 | Status=200
[2025-11-05T10:38:54.865593] [Sender 2] Iteration 7/30 | FPS=1 | ReqID=186 | Status=200
[2025-11-05T10:38:57.165346] [Sender 2] Iteration 8/30 | FPS=1 | ReqID=187 | Status=200
[2025-11-05T10:38:59.768497] [Sender 2] Iteration 9/30 | FPS=1 | ReqID=188 | Status=200
[2025-11-05T10:39:02.322054] [Sender 2] Iteration 10/30 | FPS=1 | ReqID=189 | Status=200
[2025-11-05T10:39:05.015270] [Sender 2] Iteration 11/30 | FPS=1 | ReqID=190 | Status=200
[2025-11-05T10:39:07.350355] [Sender 2] Iteration 12/30 | FPS=1 | ReqID=191 | Status=200
[2025-11-05T10:39:09.873709] [Sender 2] Iteration 13/30 | FPS=1 | ReqID=192 | Status=200
[2025-11-05T10:39:12.439776] [Sender 2] Iteration 14/30 | FPS=1 | ReqID=193 | Status=200
[2025-11-05T10:39:14.820192] [Sender 2] Iteration 15/30 | FPS=1 | ReqID=194 | Status=200
[2025-11-05T10:39:17.385125] [Sender 2] Iteration 16/30 | FPS=1 | ReqID=195 | Status=200
[2025-11-05T10:39:19.831909] [Sender 2] Iteration 17/30 | FPS=1 | ReqID=196 | Status=200
[2025-11-05T10:39:22.437524] [Sender 2] Iteration 18/30 | FPS=1 | ReqID=197 | Status=200
[2025-11-05T10:39:25.186889] [Sender 2] Iteration 19/30 | FPS=1 | ReqID=198 | Status=200
[2025-11-05T10:39:27.697935] [Sender 2] Iteration 20/30 | FPS=1 | ReqID=199 | Status=200
[2025-11-05T10:39:30.153570] [Sender 2] Iteration 21/30 | FPS=1 | ReqID=200 | Status=200
[2025-11-05T10:39:32.446836] [Sender 2] Iteration 22/30 | FPS=1 | ReqID=201 | Status=200
[2025-11-05T10:39:34.969029] [Sender 2] Iteration 23/30 | FPS=1 | ReqID=202 | Status=200
[2025-11-05T10:39:37.715653] [Sender 2] Iteration 24/30 | FPS=1 | ReqID=203 | Status=200
[2025-11-05T10:39:40.248429] [Sender 2] Iteration 25/30 | FPS=1 | ReqID=204 | Status=200
[2025-11-05T10:39:42.845420] [Sender 2] Iteration 26/30 | FPS=1 | ReqID=205 | Status=200
[2025-11-05T10:39:45.368995] [Sender 2] Iteration 27/30 | FPS=1 | ReqID=206 | Status=200
[2025-11-05T10:39:47.803831] [Sender 2] Iteration 28/30 | FPS=1 | ReqID=207 | Status=200
[2025-11-05T10:39:50.407950] [Sender 2] Iteration 29/30 | FPS=1 | ReqID=208 | Status=200
[2025-11-05T10:39:53.606062] [Sender 2] Iteration 30/30 | FPS=1 | ReqID=209 | Status=200
[2025-11-05T10:39:54.607363] [Sender 2] Finished test at 1 FPS in 77.16 seconds
[2025-11-05T10:39:54.607363] [Sender 2] 
=== Starting test at 5 FPS ===
[2025-11-05T10:39:56.090280] [Sender 2] Iteration 1/30 | FPS=5 | ReqID=210 | Status=200
[2025-11-05T10:39:58.621025] [Sender 2] Iteration 2/30 | FPS=5 | ReqID=211 | Status=200
[2025-11-05T10:40:00.202189] [Sender 2] Iteration 3/30 | FPS=5 | ReqID=212 | Status=200
[2025-11-05T10:40:02.114035] [Sender 2] Iteration 4/30 | FPS=5 | ReqID=213 | Status=200
[2025-11-05T10:40:04.276182] [Sender 2] Iteration 5/30 | FPS=5 | ReqID=214 | Status=200
[2025-11-05T10:40:06.239002] [Sender 2] Iteration 6/30 | FPS=5 | ReqID=215 | Status=200
[2025-11-05T10:40:08.506038] [Sender 2] Iteration 7/30 | FPS=5 | ReqID=216 | Status=200
[2025-11-05T10:40:10.567349] [Sender 2] Iteration 8/30 | FPS=5 | ReqID=217 | Status=200
[2025-11-05T10:40:12.492748] [Sender 2] Iteration 9/30 | FPS=5 | ReqID=218 | Status=200
[2025-11-05T10:40:14.243853] [Sender 2] Iteration 10/30 | FPS=5 | ReqID=219 | Status=200
[2025-11-05T10:40:16.325850] [Sender 2] Iteration 11/30 | FPS=5 | ReqID=220 | Status=200
[2025-11-05T10:40:18.584604] [Sender 2] Iteration 12/30 | FPS=5 | ReqID=221 | Status=200
[2025-11-05T10:40:20.561951] [Sender 2] Iteration 13/30 | FPS=5 | ReqID=222 | Status=200
[2025-11-05T10:40:22.834088] [Sender 2] Iteration 14/30 | FPS=5 | ReqID=223 | Status=200
[2025-11-05T10:40:24.526988] [Sender 2] Iteration 15/30 | FPS=5 | ReqID=224 | Status=200
[2025-11-05T10:40:26.652566] [Sender 2] Iteration 16/30 | FPS=5 | ReqID=225 | Status=200
[2025-11-05T10:40:28.969595] [Sender 2] Iteration 17/30 | FPS=5 | ReqID=226 | Status=200
[2025-11-05T10:40:30.613821] [Sender 2] Iteration 18/30 | FPS=5 | ReqID=227 | Status=200
[2025-11-05T10:40:32.770590] [Sender 2] Iteration 19/30 | FPS=5 | ReqID=228 | Status=200
[2025-11-05T10:40:34.883755] [Sender 2] Iteration 20/30 | FPS=5 | ReqID=229 | Status=200
[2025-11-05T10:40:36.703487] [Sender 2] Iteration 21/30 | FPS=5 | ReqID=230 | Status=200
[2025-11-05T10:40:38.920819] [Sender 2] Iteration 22/30 | FPS=5 | ReqID=231 | Status=200
[2025-11-05T10:40:40.845101] [Sender 2] Iteration 23/30 | FPS=5 | ReqID=232 | Status=200
[2025-11-05T10:40:42.945797] [Sender 2] Iteration 24/30 | FPS=5 | ReqID=233 | Status=200
[2025-11-05T10:40:45.218055] [Sender 2] Iteration 25/30 | FPS=5 | ReqID=234 | Status=200
[2025-11-05T10:40:47.317957] [Sender 2] Iteration 26/30 | FPS=5 | ReqID=235 | Status=200
[2025-11-05T10:40:49.538308] [Sender 2] Iteration 27/30 | FPS=5 | ReqID=236 | Status=200
[2025-11-05T10:40:51.408909] [Sender 2] Iteration 28/30 | FPS=5 | ReqID=237 | Status=200
[2025-11-05T10:40:53.504637] [Sender 2] Iteration 29/30 | FPS=5 | ReqID=238 | Status=200
[2025-11-05T10:40:55.380342] [Sender 2] Iteration 30/30 | FPS=5 | ReqID=239 | Status=200
[2025-11-05T10:40:55.581511] [Sender 2] Finished test at 5 FPS in 60.97 seconds
[2025-11-05T10:40:55.581511] [Sender 2] 
=== Starting test at 10 FPS ===
[2025-11-05T10:40:57.407279] [Sender 2] Iteration 1/30 | FPS=10 | ReqID=240 | Status=200
[2025-11-05T10:40:59.575273] [Sender 2] Iteration 2/30 | FPS=10 | ReqID=241 | Status=200
[2025-11-05T10:41:01.074866] [Sender 2] Iteration 3/30 | FPS=10 | ReqID=242 | Status=200
[2025-11-05T10:41:03.299987] [Sender 2] Iteration 4/30 | FPS=10 | ReqID=243 | Status=200
[2025-11-05T10:41:05.210590] [Sender 2] Iteration 5/30 | FPS=10 | ReqID=244 | Status=200
[2025-11-05T10:41:07.036020] [Sender 2] Iteration 6/30 | FPS=10 | ReqID=245 | Status=200
[2025-11-05T10:41:09.209649] [Sender 2] Iteration 7/30 | FPS=10 | ReqID=246 | Status=200
[2025-11-05T10:41:11.260167] [Sender 2] Iteration 8/30 | FPS=10 | ReqID=247 | Status=200
[2025-11-05T10:41:14.081953] [Sender 2] Iteration 9/30 | FPS=10 | ReqID=248 | Status=200
[2025-11-05T10:41:15.916746] [Sender 2] Iteration 10/30 | FPS=10 | ReqID=249 | Status=200
[2025-11-05T10:41:17.875603] [Sender 2] Iteration 11/30 | FPS=10 | ReqID=250 | Status=200
[2025-11-05T10:41:19.780897] [Sender 2] Iteration 12/30 | FPS=10 | ReqID=251 | Status=200
[2025-11-05T10:41:21.707046] [Sender 2] Iteration 13/30 | FPS=10 | ReqID=252 | Status=200
[2025-11-05T10:41:23.834687] [Sender 2] Iteration 14/30 | FPS=10 | ReqID=253 | Status=200
[2025-11-05T10:41:26.153252] [Sender 2] Iteration 15/30 | FPS=10 | ReqID=254 | Status=200
[2025-11-05T10:41:28.213536] [Sender 2] Iteration 16/30 | FPS=10 | ReqID=255 | Status=200
[2025-11-05T10:41:30.152918] [Sender 2] Iteration 17/30 | FPS=10 | ReqID=256 | Status=200
[2025-11-05T10:41:32.231853] [Sender 2] Iteration 18/30 | FPS=10 | ReqID=257 | Status=200
[2025-11-05T10:41:34.034113] [Sender 2] Iteration 19/30 | FPS=10 | ReqID=258 | Status=200
[2025-11-05T10:41:36.196542] [Sender 2] Iteration 20/30 | FPS=10 | ReqID=259 | Status=200
[2025-11-05T10:41:38.645309] [Sender 2] Iteration 21/30 | FPS=10 | ReqID=260 | Status=200
[2025-11-05T10:41:40.304410] [Sender 2] Iteration 22/30 | FPS=10 | ReqID=261 | Status=200
[2025-11-05T10:41:42.501271] [Sender 2] Iteration 23/30 | FPS=10 | ReqID=262 | Status=200
[2025-11-05T10:41:44.260344] [Sender 2] Iteration 24/30 | FPS=10 | ReqID=263 | Status=200
[2025-11-05T10:41:46.480826] [Sender 2] Iteration 25/30 | FPS=10 | ReqID=264 | Status=200
[2025-11-05T10:41:48.257369] [Sender 2] Iteration 26/30 | FPS=10 | ReqID=265 | Status=200
[2025-11-05T10:41:50.043304] [Sender 2] Iteration 27/30 | FPS=10 | ReqID=266 | Status=200
[2025-11-05T10:41:52.120584] [Sender 2] Iteration 28/30 | FPS=10 | ReqID=267 | Status=200
[2025-11-05T10:41:54.032235] [Sender 2] Iteration 29/30 | FPS=10 | ReqID=268 | Status=200
[2025-11-05T10:41:56.104993] [Sender 2] Iteration 30/30 | FPS=10 | ReqID=269 | Status=200
[2025-11-05T10:41:56.205681] [Sender 2] Finished test at 10 FPS in 60.62 seconds
[2025-11-05T10:41:56.205681] [Sender 2] 
=== Starting test at 20 FPS ===
[2025-11-05T10:41:58.223193] [Sender 2] Iteration 1/30 | FPS=20 | ReqID=270 | Status=200
[2025-11-05T10:42:01.082320] [Sender 2] Iteration 2/30 | FPS=20 | ReqID=271 | Status=200
[2025-11-05T10:42:02.883767] [Sender 2] Iteration 3/30 | FPS=20 | ReqID=272 | Status=200
[2025-11-05T10:42:04.754956] [Sender 2] Iteration 4/30 | FPS=20 | ReqID=273 | Status=200
[2025-11-05T10:42:06.731111] [Sender 2] Iteration 5/30 | FPS=20 | ReqID=274 | Status=200
[2025-11-05T10:42:08.839256] [Sender 2] Iteration 6/30 | FPS=20 | ReqID=275 | Status=200
[2025-11-05T10:42:10.458482] [Sender 2] Iteration 7/30 | FPS=20 | ReqID=276 | Status=200
[2025-11-05T10:42:12.489794] [Sender 2] Iteration 8/30 | FPS=20 | ReqID=277 | Status=200
[2025-11-05T10:42:14.466519] [Sender 2] Iteration 9/30 | FPS=20 | ReqID=278 | Status=200
[2025-11-05T10:42:16.443654] [Sender 2] Iteration 10/30 | FPS=20 | ReqID=279 | Status=200
[2025-11-05T10:42:19.435541] [Sender 2] Iteration 11/30 | FPS=20 | ReqID=280 | Status=200
[2025-11-05T10:42:21.141560] [Sender 2] Iteration 12/30 | FPS=20 | ReqID=281 | Status=200
[2025-11-05T10:42:23.136336] [Sender 2] Iteration 13/30 | FPS=20 | ReqID=282 | Status=200
[2025-11-05T10:42:24.941258] [Sender 2] Iteration 14/30 | FPS=20 | ReqID=283 | Status=200
[2025-11-05T10:42:26.932591] [Sender 2] Iteration 15/30 | FPS=20 | ReqID=284 | Status=200
[2025-11-05T10:42:28.775717] [Sender 2] Iteration 16/30 | FPS=20 | ReqID=285 | Status=200
[2025-11-05T10:42:30.511258] [Sender 2] Iteration 17/30 | FPS=20 | ReqID=286 | Status=200
[2025-11-05T10:42:32.651374] [Sender 2] Iteration 18/30 | FPS=20 | ReqID=287 | Status=200
[2025-11-05T10:42:34.517490] [Sender 2] Iteration 19/30 | FPS=20 | ReqID=288 | Status=200
[2025-11-05T10:42:36.068466] [Sender 2] Iteration 20/30 | FPS=20 | ReqID=289 | Status=200
[2025-11-05T10:42:37.758823] [Sender 2] Iteration 21/30 | FPS=20 | ReqID=290 | Status=200
[2025-11-05T10:42:39.908646] [Sender 2] Iteration 22/30 | FPS=20 | ReqID=291 | Status=200
[2025-11-05T10:42:42.085924] [Sender 2] Iteration 23/30 | FPS=20 | ReqID=292 | Status=200
[2025-11-05T10:42:43.917497] [Sender 2] Iteration 24/30 | FPS=20 | ReqID=293 | Status=200
[2025-11-05T10:42:45.935971] [Sender 2] Iteration 25/30 | FPS=20 | ReqID=294 | Status=200
[2025-11-05T10:42:47.938784] [Sender 2] Iteration 26/30 | FPS=20 | ReqID=295 | Status=200
[2025-11-05T10:42:50.397146] [Sender 2] Iteration 27/30 | FPS=20 | ReqID=296 | Status=200
[2025-11-05T10:42:52.159078] [Sender 2] Iteration 28/30 | FPS=20 | ReqID=297 | Status=200
[2025-11-05T10:42:53.981693] [Sender 2] Iteration 29/30 | FPS=20 | ReqID=298 | Status=200
[2025-11-05T10:42:56.156243] [Sender 2] Iteration 30/30 | FPS=20 | ReqID=299 | Status=200
[2025-11-05T10:42:56.207103] [Sender 2] Finished test at 20 FPS in 60.00 seconds
[2025-11-05T10:42:56.207103] [Sender 2] 
=== Starting test at 40 FPS ===
[2025-11-05T10:42:57.899892] [Sender 2] Iteration 1/30 | FPS=40 | ReqID=300 | Status=200
[2025-11-05T10:42:59.726301] [Sender 2] Iteration 2/30 | FPS=40 | ReqID=301 | Status=200
[2025-11-05T10:43:02.019366] [Sender 2] Iteration 3/30 | FPS=40 | ReqID=302 | Status=200
[2025-11-05T10:43:03.799566] [Sender 2] Iteration 4/30 | FPS=40 | ReqID=303 | Status=200
[2025-11-05T10:43:05.970525] [Sender 2] Iteration 5/30 | FPS=40 | ReqID=304 | Status=200
[2025-11-05T10:43:08.041005] [Sender 2] Iteration 6/30 | FPS=40 | ReqID=305 | Status=200
[2025-11-05T10:43:09.827406] [Sender 2] Iteration 7/30 | FPS=40 | ReqID=306 | Status=200
[2025-11-05T10:43:11.950225] [Sender 2] Iteration 8/30 | FPS=40 | ReqID=307 | Status=200
[2025-11-05T10:43:13.976424] [Sender 2] Iteration 9/30 | FPS=40 | ReqID=308 | Status=200
[2025-11-05T10:43:15.829032] [Sender 2] Iteration 10/30 | FPS=40 | ReqID=309 | Status=200
[2025-11-05T10:43:17.900508] [Sender 2] Iteration 11/30 | FPS=40 | ReqID=310 | Status=200
[2025-11-05T10:43:20.028202] [Sender 2] Iteration 12/30 | FPS=40 | ReqID=311 | Status=200
[2025-11-05T10:43:21.871017] [Sender 2] Iteration 13/30 | FPS=40 | ReqID=312 | Status=200
[2025-11-05T10:43:24.178237] [Sender 2] Iteration 14/30 | FPS=40 | ReqID=313 | Status=200
[2025-11-05T10:43:26.395511] [Sender 2] Iteration 15/30 | FPS=40 | ReqID=314 | Status=200
[2025-11-05T10:43:28.098747] [Sender 2] Iteration 16/30 | FPS=40 | ReqID=315 | Status=200
[2025-11-05T10:43:29.667373] [Sender 2] Iteration 17/30 | FPS=40 | ReqID=316 | Status=200
[2025-11-05T10:43:31.422904] [Sender 2] Iteration 18/30 | FPS=40 | ReqID=317 | Status=200
[2025-11-05T10:43:33.307463] [Sender 2] Iteration 19/30 | FPS=40 | ReqID=318 | Status=200
[2025-11-05T10:43:35.280425] [Sender 2] Iteration 20/30 | FPS=40 | ReqID=319 | Status=200
[2025-11-05T10:43:37.204948] [Sender 2] Iteration 21/30 | FPS=40 | ReqID=320 | Status=200
[2025-11-05T10:43:39.185781] [Sender 2] Iteration 22/30 | FPS=40 | ReqID=321 | Status=200
[2025-11-05T10:43:41.070018] [Sender 2] Iteration 23/30 | FPS=40 | ReqID=322 | Status=200
[2025-11-05T10:43:43.078459] [Sender 2] Iteration 24/30 | FPS=40 | ReqID=323 | Status=200
[2025-11-05T10:43:45.460899] [Sender 2] Iteration 25/30 | FPS=40 | ReqID=324 | Status=200
[2025-11-05T10:43:46.962089] [Sender 2] Iteration 26/30 | FPS=40 | ReqID=325 | Status=200
[2025-11-05T10:43:48.796115] [Sender 2] Iteration 27/30 | FPS=40 | ReqID=326 | Status=200
[2025-11-05T10:43:50.843099] [Sender 2] Iteration 28/30 | FPS=40 | ReqID=327 | Status=200
[2025-11-05T10:43:52.854329] [Sender 2] Iteration 29/30 | FPS=40 | ReqID=328 | Status=200
[2025-11-05T10:43:54.936373] [Sender 2] Iteration 30/30 | FPS=40 | ReqID=329 | Status=200
[2025-11-05T10:43:54.962102] [Sender 2] Finished test at 40 FPS in 58.75 seconds
[2025-11-05T10:43:54.962102] [Sender 2] 
=== Starting test at 60 FPS ===
[2025-11-05T10:43:57.009014] [Sender 2] Iteration 1/30 | FPS=60 | ReqID=330 | Status=200
[2025-11-05T10:43:59.019340] [Sender 2] Iteration 2/30 | FPS=60 | ReqID=331 | Status=200
[2025-11-05T10:44:01.250765] [Sender 2] Iteration 3/30 | FPS=60 | ReqID=332 | Status=200
[2025-11-05T10:44:03.086713] [Sender 2] Iteration 4/30 | FPS=60 | ReqID=333 | Status=200
[2025-11-05T10:44:04.755118] [Sender 2] Iteration 5/30 | FPS=60 | ReqID=334 | Status=200
[2025-11-05T10:44:06.661977] [Sender 2] Iteration 6/30 | FPS=60 | ReqID=335 | Status=200
[2025-11-05T10:44:08.837534] [Sender 2] Iteration 7/30 | FPS=60 | ReqID=336 | Status=200
[2025-11-05T10:44:10.652916] [Sender 2] Iteration 8/30 | FPS=60 | ReqID=337 | Status=200
[2025-11-05T10:44:12.889484] [Sender 2] Iteration 9/30 | FPS=60 | ReqID=338 | Status=200
[2025-11-05T10:44:14.433426] [Sender 2] Iteration 10/30 | FPS=60 | ReqID=339 | Status=200
[2025-11-05T10:44:16.506676] [Sender 2] Iteration 11/30 | FPS=60 | ReqID=340 | Status=200
[2025-11-05T10:44:18.375066] [Sender 2] Iteration 12/30 | FPS=60 | ReqID=341 | Status=200
[2025-11-05T10:44:20.463475] [Sender 2] Iteration 13/30 | FPS=60 | ReqID=342 | Status=200
[2025-11-05T10:44:22.319612] [Sender 2] Iteration 14/30 | FPS=60 | ReqID=343 | Status=200
[2025-11-05T10:44:24.263513] [Sender 2] Iteration 15/30 | FPS=60 | ReqID=344 | Status=200
[2025-11-05T10:44:26.464095] [Sender 2] Iteration 16/30 | FPS=60 | ReqID=345 | Status=200
[2025-11-05T10:44:28.361500] [Sender 2] Iteration 17/30 | FPS=60 | ReqID=346 | Status=200
[2025-11-05T10:44:30.140357] [Sender 2] Iteration 18/30 | FPS=60 | ReqID=347 | Status=200
[2025-11-05T10:44:32.644155] [Sender 2] Iteration 19/30 | FPS=60 | ReqID=348 | Status=200
[2025-11-05T10:44:34.454275] [Sender 2] Iteration 20/30 | FPS=60 | ReqID=349 | Status=200
[2025-11-05T10:44:36.514596] [Sender 2] Iteration 21/30 | FPS=60 | ReqID=350 | Status=200
[2025-11-05T10:44:38.830349] [Sender 2] Iteration 22/30 | FPS=60 | ReqID=351 | Status=200
[2025-11-05T10:44:41.022375] [Sender 2] Iteration 23/30 | FPS=60 | ReqID=352 | Status=200
[2025-11-05T10:44:43.709729] [Sender 2] Iteration 24/30 | FPS=60 | ReqID=353 | Status=200
[2025-11-05T10:44:45.586952] [Sender 2] Iteration 25/30 | FPS=60 | ReqID=354 | Status=200
[2025-11-05T10:44:47.632541] [Sender 2] Iteration 26/30 | FPS=60 | ReqID=355 | Status=200
[2025-11-05T10:44:50.399127] [Sender 2] Iteration 27/30 | FPS=60 | ReqID=356 | Status=200
[2025-11-05T10:44:52.268463] [Sender 2] Iteration 28/30 | FPS=60 | ReqID=357 | Status=200
[2025-11-05T10:44:54.328091] [Sender 2] Iteration 29/30 | FPS=60 | ReqID=358 | Status=200
[2025-11-05T10:44:56.248379] [Sender 2] Iteration 30/30 | FPS=60 | ReqID=359 | Status=200
[2025-11-05T10:44:56.267139] [Sender 2] Finished test at 60 FPS in 61.31 seconds
[2025-11-05T10:44:56.267139] [Sender 2] === Sender 2 tests completed ===
