[2025-11-05T10:11:16.421556] === Starting network test ===
[2025-11-05T10:11:38.362288] Ping to 8.8.8.8: 15.66 ms
[2025-11-05T10:11:38.362288] Download Speed: 52.24 Mbps
[2025-11-05T10:11:38.362288] Upload Speed: 20.66 Mbps
[2025-11-05T10:11:38.362288] 
=== Starting test at 1 FPS ===
[2025-11-05T10:11:40.329671] Iteration 1/30 | FPS=1 | Status=200
[2025-11-05T10:11:41.798836] Iteration 2/30 | FPS=1 | Status=200
[2025-11-05T10:11:43.247871] Iteration 3/30 | FPS=1 | Status=200
[2025-11-05T10:11:44.690548] Iteration 4/30 | FPS=1 | Status=200
[2025-11-05T10:11:46.236246] Iteration 5/30 | FPS=1 | Status=200
[2025-11-05T10:11:47.711025] Iteration 6/30 | FPS=1 | Status=200
[2025-11-05T10:11:49.287267] Iteration 7/30 | FPS=1 | Status=200
[2025-11-05T10:11:50.911511] Iteration 8/30 | FPS=1 | Status=200
[2025-11-05T10:11:52.440314] Iteration 9/30 | FPS=1 | Status=200
[2025-11-05T10:11:53.959150] Iteration 10/30 | FPS=1 | Status=200
[2025-11-05T10:11:55.473920] Iteration 11/30 | FPS=1 | Status=200
[2025-11-05T10:11:57.026524] Iteration 12/30 | FPS=1 | Status=200
[2025-11-05T10:11:58.561934] Iteration 13/30 | FPS=1 | Status=200
[2025-11-05T10:12:00.075191] Iteration 14/30 | FPS=1 | Status=200
[2025-11-05T10:12:01.599663] Iteration 15/30 | FPS=1 | Status=200
[2025-11-05T10:12:03.112862] Iteration 16/30 | FPS=1 | Status=200
[2025-11-05T10:12:04.664119] Iteration 17/30 | FPS=1 | Status=200
[2025-11-05T10:12:06.317166] Iteration 18/30 | FPS=1 | Status=200
[2025-11-05T10:12:07.887042] Iteration 19/30 | FPS=1 | Status=200
[2025-11-05T10:12:09.323975] Iteration 20/30 | FPS=1 | Status=200
[2025-11-05T10:12:10.866441] Iteration 21/30 | FPS=1 | Status=200
[2025-11-05T10:12:12.598013] Iteration 22/30 | FPS=1 | Status=200
[2025-11-05T10:12:14.022040] Iteration 23/30 | FPS=1 | Status=200
[2025-11-05T10:12:15.561175] Iteration 24/30 | FPS=1 | Status=200
[2025-11-05T10:12:17.101780] Iteration 25/30 | FPS=1 | Status=200
[2025-11-05T10:12:18.608023] Iteration 26/30 | FPS=1 | Status=200
[2025-11-05T10:12:20.045663] Iteration 27/30 | FPS=1 | Status=200
[2025-11-05T10:12:21.589590] Iteration 28/30 | FPS=1 | Status=200
[2025-11-05T10:12:23.114475] Iteration 29/30 | FPS=1 | Status=200
[2025-11-05T10:12:24.619274] Iteration 30/30 | FPS=1 | Status=200
[2025-11-05T10:12:25.620142] Finished test at 1 FPS in 47.26 seconds
[2025-11-05T10:12:25.620142] 
=== Starting test at 5 FPS ===
[2025-11-05T10:12:26.062244] Iteration 1/30 | FPS=5 | Status=200
[2025-11-05T10:12:26.781762] Iteration 2/30 | FPS=5 | Status=200
[2025-11-05T10:12:27.516768] Iteration 3/30 | FPS=5 | Status=200
[2025-11-05T10:12:28.135485] Iteration 4/30 | FPS=5 | Status=200
[2025-11-05T10:12:28.783413] Iteration 5/30 | FPS=5 | Status=200
[2025-11-05T10:12:29.440182] Iteration 6/30 | FPS=5 | Status=200
[2025-11-05T10:12:30.160424] Iteration 7/30 | FPS=5 | Status=200
[2025-11-05T10:12:30.884118] Iteration 8/30 | FPS=5 | Status=200
[2025-11-05T10:12:31.593150] Iteration 9/30 | FPS=5 | Status=200
[2025-11-05T10:12:32.243769] Iteration 10/30 | FPS=5 | Status=200
[2025-11-05T10:12:32.873844] Iteration 11/30 | FPS=5 | Status=200
[2025-11-05T10:12:33.609916] Iteration 12/30 | FPS=5 | Status=200
[2025-11-05T10:12:34.254802] Iteration 13/30 | FPS=5 | Status=200
[2025-11-05T10:12:34.979708] Iteration 14/30 | FPS=5 | Status=200
[2025-11-05T10:12:35.620286] Iteration 15/30 | FPS=5 | Status=200
