[2025-11-05T10:38:14.614018] [Sender 3] === Sender thread 3 started ===
[2025-11-05T10:38:14.615018] [Sender 3] === Starting network test ===
[2025-11-05T10:38:38.647896] [Sender 3] Ping to 8.8.8.8: 17.36 ms
[2025-11-05T10:38:38.647896] [Sender 3] Download Speed: 13.90 Mbps
[2025-11-05T10:38:38.647896] [Sender 3] Upload Speed: 1.94 Mbps
[2025-11-05T10:38:38.647896] [Sender 3] 
=== Starting test at 1 FPS ===
[2025-11-05T10:38:40.284979] [Sender 3] Iteration 1/30 | FPS=1 | ReqID=360 | Status=200
[2025-11-05T10:38:43.058038] [Sender 3] Iteration 2/30 | FPS=1 | ReqID=361 | Status=200
[2025-11-05T10:38:45.693475] [Sender 3] Iteration 3/30 | FPS=1 | ReqID=362 | Status=200
[2025-11-05T10:38:47.992308] [Sender 3] Iteration 4/30 | FPS=1 | ReqID=363 | Status=200
[2025-11-05T10:38:50.474415] [Sender 3] Iteration 5/30 | FPS=1 | ReqID=364 | Status=200
[2025-11-05T10:38:52.979556] [Sender 3] Iteration 6/30 | FPS=1 | ReqID=365 | Status=200
[2025-11-05T10:38:55.608044] [Sender 3] Iteration 7/30 | FPS=1 | ReqID=366 | Status=200
[2025-11-05T10:38:58.217448] [Sender 3] Iteration 8/30 | FPS=1 | ReqID=367 | Status=200
[2025-11-05T10:39:00.678278] [Sender 3] Iteration 9/30 | FPS=1 | ReqID=368 | Status=200
[2025-11-05T10:39:03.145809] [Sender 3] Iteration 10/30 | FPS=1 | ReqID=369 | Status=200
[2025-11-05T10:39:05.723777] [Sender 3] Iteration 11/30 | FPS=1 | ReqID=370 | Status=200
[2025-11-05T10:39:08.278359] [Sender 3] Iteration 12/30 | FPS=1 | ReqID=371 | Status=200
[2025-11-05T10:39:10.834025] [Sender 3] Iteration 13/30 | FPS=1 | ReqID=372 | Status=200
[2025-11-05T10:39:13.322207] [Sender 3] Iteration 14/30 | FPS=1 | ReqID=373 | Status=200
[2025-11-05T10:39:15.841633] [Sender 3] Iteration 15/30 | FPS=1 | ReqID=374 | Status=200
[2025-11-05T10:39:18.590094] [Sender 3] Iteration 16/30 | FPS=1 | ReqID=375 | Status=200
[2025-11-05T10:39:21.116404] [Sender 3] Iteration 17/30 | FPS=1 | ReqID=376 | Status=200
[2025-11-05T10:39:23.442499] [Sender 3] Iteration 18/30 | FPS=1 | ReqID=377 | Status=200
[2025-11-05T10:39:25.910548] [Sender 3] Iteration 19/30 | FPS=1 | ReqID=378 | Status=200
[2025-11-05T10:39:28.384165] [Sender 3] Iteration 20/30 | FPS=1 | ReqID=379 | Status=200
[2025-11-05T10:39:30.962157] [Sender 3] Iteration 21/30 | FPS=1 | ReqID=380 | Status=200
[2025-11-05T10:39:33.578967] [Sender 3] Iteration 22/30 | FPS=1 | ReqID=381 | Status=200
[2025-11-05T10:39:35.852560] [Sender 3] Iteration 23/30 | FPS=1 | ReqID=382 | Status=200
[2025-11-05T10:39:38.291755] [Sender 3] Iteration 24/30 | FPS=1 | ReqID=383 | Status=200
[2025-11-05T10:39:40.929932] [Sender 3] Iteration 25/30 | FPS=1 | ReqID=384 | Status=200
[2025-11-05T10:39:43.451208] [Sender 3] Iteration 26/30 | FPS=1 | ReqID=385 | Status=200
[2025-11-05T10:39:46.092044] [Sender 3] Iteration 27/30 | FPS=1 | ReqID=386 | Status=200
[2025-11-05T10:39:48.479491] [Sender 3] Iteration 28/30 | FPS=1 | ReqID=387 | Status=200
[2025-11-05T10:39:51.295528] [Sender 3] Iteration 29/30 | FPS=1 | ReqID=388 | Status=200
[2025-11-05T10:39:54.407631] [Sender 3] Iteration 30/30 | FPS=1 | ReqID=389 | Status=200
[2025-11-05T10:39:55.408921] [Sender 3] Finished test at 1 FPS in 76.76 seconds
[2025-11-05T10:39:55.408921] [Sender 3] 
=== Starting test at 5 FPS ===
[2025-11-05T10:39:57.126264] [Sender 3] Iteration 1/30 | FPS=5 | ReqID=390 | Status=200
[2025-11-05T10:39:59.178145] [Sender 3] Iteration 2/30 | FPS=5 | ReqID=391 | Status=200
[2025-11-05T10:40:00.917651] [Sender 3] Iteration 3/30 | FPS=5 | ReqID=392 | Status=200
[2025-11-05T10:40:02.730553] [Sender 3] Iteration 4/30 | FPS=5 | ReqID=393 | Status=200
[2025-11-05T10:40:05.233890] [Sender 3] Iteration 5/30 | FPS=5 | ReqID=394 | Status=200
[2025-11-05T10:40:07.295768] [Sender 3] Iteration 6/30 | FPS=5 | ReqID=395 | Status=200
[2025-11-05T10:40:09.095709] [Sender 3] Iteration 7/30 | FPS=5 | ReqID=396 | Status=200
[2025-11-05T10:40:11.133176] [Sender 3] Iteration 8/30 | FPS=5 | ReqID=397 | Status=200
[2025-11-05T10:40:13.076206] [Sender 3] Iteration 9/30 | FPS=5 | ReqID=398 | Status=200
[2025-11-05T10:40:15.068273] [Sender 3] Iteration 10/30 | FPS=5 | ReqID=399 | Status=200
[2025-11-05T10:40:17.110851] [Sender 3] Iteration 11/30 | FPS=5 | ReqID=400 | Status=200
[2025-11-05T10:40:19.941700] [Sender 3] Iteration 12/30 | FPS=5 | ReqID=401 | Status=200
[2025-11-05T10:40:21.845124] [Sender 3] Iteration 13/30 | FPS=5 | ReqID=402 | Status=200
[2025-11-05T10:40:23.886434] [Sender 3] Iteration 14/30 | FPS=5 | ReqID=403 | Status=200
[2025-11-05T10:40:26.075286] [Sender 3] Iteration 15/30 | FPS=5 | ReqID=404 | Status=200
[2025-11-05T10:40:28.045041] [Sender 3] Iteration 16/30 | FPS=5 | ReqID=405 | Status=200
[2025-11-05T10:40:30.024756] [Sender 3] Iteration 17/30 | FPS=5 | ReqID=406 | Status=200
[2025-11-05T10:40:32.040479] [Sender 3] Iteration 18/30 | FPS=5 | ReqID=407 | Status=200
[2025-11-05T10:40:34.148826] [Sender 3] Iteration 19/30 | FPS=5 | ReqID=408 | Status=200
[2025-11-05T10:40:36.128089] [Sender 3] Iteration 20/30 | FPS=5 | ReqID=409 | Status=200
[2025-11-05T10:40:38.402762] [Sender 3] Iteration 21/30 | FPS=5 | ReqID=410 | Status=200
[2025-11-05T10:40:40.163889] [Sender 3] Iteration 22/30 | FPS=5 | ReqID=411 | Status=200
[2025-11-05T10:40:42.278810] [Sender 3] Iteration 23/30 | FPS=5 | ReqID=412 | Status=200
[2025-11-05T10:40:44.471026] [Sender 3] Iteration 24/30 | FPS=5 | ReqID=413 | Status=200
[2025-11-05T10:40:46.408541] [Sender 3] Iteration 25/30 | FPS=5 | ReqID=414 | Status=200
[2025-11-05T10:40:48.812930] [Sender 3] Iteration 26/30 | FPS=5 | ReqID=415 | Status=200
[2025-11-05T10:40:50.757530] [Sender 3] Iteration 27/30 | FPS=5 | ReqID=416 | Status=200
[2025-11-05T10:40:53.088641] [Sender 3] Iteration 28/30 | FPS=5 | ReqID=417 | Status=200
[2025-11-05T10:40:54.765404] [Sender 3] Iteration 29/30 | FPS=5 | ReqID=418 | Status=200
[2025-11-05T10:40:56.805386] [Sender 3] Iteration 30/30 | FPS=5 | ReqID=419 | Status=200
[2025-11-05T10:40:57.006982] [Sender 3] Finished test at 5 FPS in 61.60 seconds
[2025-11-05T10:40:57.006982] [Sender 3] 
=== Starting test at 10 FPS ===
[2025-11-05T10:40:58.998168] [Sender 3] Iteration 1/30 | FPS=10 | ReqID=420 | Status=200
[2025-11-05T10:41:01.516552] [Sender 3] Iteration 2/30 | FPS=10 | ReqID=421 | Status=200
[2025-11-05T10:41:03.787610] [Sender 3] Iteration 3/30 | FPS=10 | ReqID=422 | Status=200
[2025-11-05T10:41:05.816984] [Sender 3] Iteration 4/30 | FPS=10 | ReqID=423 | Status=200
[2025-11-05T10:41:07.821799] [Sender 3] Iteration 5/30 | FPS=10 | ReqID=424 | Status=200
[2025-11-05T10:41:09.832362] [Sender 3] Iteration 6/30 | FPS=10 | ReqID=425 | Status=200
[2025-11-05T10:41:11.760195] [Sender 3] Iteration 7/30 | FPS=10 | ReqID=426 | Status=200
[2025-11-05T10:41:13.763259] [Sender 3] Iteration 8/30 | FPS=10 | ReqID=427 | Status=200
[2025-11-05T10:41:15.331596] [Sender 3] Iteration 9/30 | FPS=10 | ReqID=428 | Status=200
[2025-11-05T10:41:17.538942] [Sender 3] Iteration 10/30 | FPS=10 | ReqID=429 | Status=200
[2025-11-05T10:41:19.129116] [Sender 3] Iteration 11/30 | FPS=10 | ReqID=430 | Status=200
[2025-11-05T10:41:21.160223] [Sender 3] Iteration 12/30 | FPS=10 | ReqID=431 | Status=200
[2025-11-05T10:41:23.270535] [Sender 3] Iteration 13/30 | FPS=10 | ReqID=432 | Status=200
[2025-11-05T10:41:25.235678] [Sender 3] Iteration 14/30 | FPS=10 | ReqID=433 | Status=200
[2025-11-05T10:41:27.273973] [Sender 3] Iteration 15/30 | FPS=10 | ReqID=434 | Status=200
[2025-11-05T10:41:29.600977] [Sender 3] Iteration 16/30 | FPS=10 | ReqID=435 | Status=200
[2025-11-05T10:41:31.472498] [Sender 3] Iteration 17/30 | FPS=10 | ReqID=436 | Status=200
[2025-11-05T10:41:33.379976] [Sender 3] Iteration 18/30 | FPS=10 | ReqID=437 | Status=200
[2025-11-05T10:41:35.595405] [Sender 3] Iteration 19/30 | FPS=10 | ReqID=438 | Status=200
[2025-11-05T10:41:37.786182] [Sender 3] Iteration 20/30 | FPS=10 | ReqID=439 | Status=200
[2025-11-05T10:41:39.702242] [Sender 3] Iteration 21/30 | FPS=10 | ReqID=440 | Status=200
[2025-11-05T10:41:41.687801] [Sender 3] Iteration 22/30 | FPS=10 | ReqID=441 | Status=200
[2025-11-05T10:41:43.682762] [Sender 3] Iteration 23/30 | FPS=10 | ReqID=442 | Status=200
[2025-11-05T10:41:45.742340] [Sender 3] Iteration 24/30 | FPS=10 | ReqID=443 | Status=200
[2025-11-05T10:41:47.692916] [Sender 3] Iteration 25/30 | FPS=10 | ReqID=444 | Status=200
[2025-11-05T10:41:49.435264] [Sender 3] Iteration 26/30 | FPS=10 | ReqID=445 | Status=200
[2025-11-05T10:41:51.203594] [Sender 3] Iteration 27/30 | FPS=10 | ReqID=446 | Status=200
[2025-11-05T10:41:53.503247] [Sender 3] Iteration 28/30 | FPS=10 | ReqID=447 | Status=200
[2025-11-05T10:41:55.543553] [Sender 3] Iteration 29/30 | FPS=10 | ReqID=448 | Status=200
[2025-11-05T10:41:57.554625] [Sender 3] Iteration 30/30 | FPS=10 | ReqID=449 | Status=200
[2025-11-05T10:41:57.655616] [Sender 3] Finished test at 10 FPS in 60.65 seconds
[2025-11-05T10:41:57.655616] [Sender 3] 
=== Starting test at 20 FPS ===
[2025-11-05T10:41:59.536753] [Sender 3] Iteration 1/30 | FPS=20 | ReqID=450 | Status=200
[2025-11-05T10:42:01.702794] [Sender 3] Iteration 2/30 | FPS=20 | ReqID=451 | Status=200
[2025-11-05T10:42:03.546752] [Sender 3] Iteration 3/30 | FPS=20 | ReqID=452 | Status=200
[2025-11-05T10:42:05.347289] [Sender 3] Iteration 4/30 | FPS=20 | ReqID=453 | Status=200
[2025-11-05T10:42:07.318913] [Sender 3] Iteration 5/30 | FPS=20 | ReqID=454 | Status=200
[2025-11-05T10:42:09.327337] [Sender 3] Iteration 6/30 | FPS=20 | ReqID=455 | Status=200
[2025-11-05T10:42:11.037723] [Sender 3] Iteration 7/30 | FPS=20 | ReqID=456 | Status=200
[2025-11-05T10:42:13.092915] [Sender 3] Iteration 8/30 | FPS=20 | ReqID=457 | Status=200
[2025-11-05T10:42:15.388752] [Sender 3] Iteration 9/30 | FPS=20 | ReqID=458 | Status=200
[2025-11-05T10:42:17.268017] [Sender 3] Iteration 10/30 | FPS=20 | ReqID=459 | Status=200
[2025-11-05T10:42:18.819803] [Sender 3] Iteration 11/30 | FPS=20 | ReqID=460 | Status=200
[2025-11-05T10:42:20.521176] [Sender 3] Iteration 12/30 | FPS=20 | ReqID=461 | Status=200
[2025-11-05T10:42:22.548086] [Sender 3] Iteration 13/30 | FPS=20 | ReqID=462 | Status=200
[2025-11-05T10:42:24.303347] [Sender 3] Iteration 14/30 | FPS=20 | ReqID=463 | Status=200
[2025-11-05T10:42:26.390673] [Sender 3] Iteration 15/30 | FPS=20 | ReqID=464 | Status=200
[2025-11-05T10:42:28.302459] [Sender 3] Iteration 16/30 | FPS=20 | ReqID=465 | Status=200
[2025-11-05T10:42:29.952468] [Sender 3] Iteration 17/30 | FPS=20 | ReqID=466 | Status=200
[2025-11-05T10:42:31.916264] [Sender 3] Iteration 18/30 | FPS=20 | ReqID=467 | Status=200
[2025-11-05T10:42:34.831253] [Sender 3] Iteration 19/30 | FPS=20 | ReqID=468 | Status=200
[2025-11-05T10:42:36.667075] [Sender 3] Iteration 20/30 | FPS=20 | ReqID=469 | Status=200
[2025-11-05T10:42:38.525561] [Sender 3] Iteration 21/30 | FPS=20 | ReqID=470 | Status=200
[2025-11-05T10:42:40.500881] [Sender 3] Iteration 22/30 | FPS=20 | ReqID=471 | Status=200
[2025-11-05T10:42:42.616454] [Sender 3] Iteration 23/30 | FPS=20 | ReqID=472 | Status=200
[2025-11-05T10:42:44.711720] [Sender 3] Iteration 24/30 | FPS=20 | ReqID=473 | Status=200
[2025-11-05T10:42:46.530707] [Sender 3] Iteration 25/30 | FPS=20 | ReqID=474 | Status=200
[2025-11-05T10:42:48.576823] [Sender 3] Iteration 26/30 | FPS=20 | ReqID=475 | Status=200
[2025-11-05T10:42:50.953181] [Sender 3] Iteration 27/30 | FPS=20 | ReqID=476 | Status=200
[2025-11-05T10:42:52.810677] [Sender 3] Iteration 28/30 | FPS=20 | ReqID=477 | Status=200
[2025-11-05T10:42:54.837946] [Sender 3] Iteration 29/30 | FPS=20 | ReqID=478 | Status=200
[2025-11-05T10:42:56.755861] [Sender 3] Iteration 30/30 | FPS=20 | ReqID=479 | Status=200
[2025-11-05T10:42:56.807283] [Sender 3] Finished test at 20 FPS in 59.15 seconds
[2025-11-05T10:42:56.807283] [Sender 3] 
=== Starting test at 40 FPS ===
[2025-11-05T10:42:58.516219] [Sender 3] Iteration 1/30 | FPS=40 | ReqID=480 | Status=200
[2025-11-05T10:43:00.425685] [Sender 3] Iteration 2/30 | FPS=40 | ReqID=481 | Status=200
[2025-11-05T10:43:02.513259] [Sender 3] Iteration 3/30 | FPS=40 | ReqID=482 | Status=200
[2025-11-05T10:43:04.760805] [Sender 3] Iteration 4/30 | FPS=40 | ReqID=483 | Status=200
[2025-11-05T10:43:06.551515] [Sender 3] Iteration 5/30 | FPS=40 | ReqID=484 | Status=200
[2025-11-05T10:43:08.698836] [Sender 3] Iteration 6/30 | FPS=40 | ReqID=485 | Status=200
[2025-11-05T10:43:10.619647] [Sender 3] Iteration 7/30 | FPS=40 | ReqID=486 | Status=200
[2025-11-05T10:43:12.619100] [Sender 3] Iteration 8/30 | FPS=40 | ReqID=487 | Status=200
[2025-11-05T10:43:14.621035] [Sender 3] Iteration 9/30 | FPS=40 | ReqID=488 | Status=200
[2025-11-05T10:43:16.475393] [Sender 3] Iteration 10/30 | FPS=40 | ReqID=489 | Status=200
[2025-11-05T10:43:18.670306] [Sender 3] Iteration 11/30 | FPS=40 | ReqID=490 | Status=200
[2025-11-05T10:43:20.851737] [Sender 3] Iteration 12/30 | FPS=40 | ReqID=491 | Status=200
[2025-11-05T10:43:22.596087] [Sender 3] Iteration 13/30 | FPS=40 | ReqID=492 | Status=200
[2025-11-05T10:43:24.802063] [Sender 3] Iteration 14/30 | FPS=40 | ReqID=493 | Status=200
[2025-11-05T10:43:26.796268] [Sender 3] Iteration 15/30 | FPS=40 | ReqID=494 | Status=200
[2025-11-05T10:43:28.754949] [Sender 3] Iteration 16/30 | FPS=40 | ReqID=495 | Status=200
[2025-11-05T10:43:30.892905] [Sender 3] Iteration 17/30 | FPS=40 | ReqID=496 | Status=200
[2025-11-05T10:43:32.616211] [Sender 3] Iteration 18/30 | FPS=40 | ReqID=497 | Status=200
[2025-11-05T10:43:34.734579] [Sender 3] Iteration 19/30 | FPS=40 | ReqID=498 | Status=200
[2025-11-05T10:43:36.472299] [Sender 3] Iteration 20/30 | FPS=40 | ReqID=499 | Status=200
[2025-11-05T10:43:38.154653] [Sender 3] Iteration 21/30 | FPS=40 | ReqID=500 | Status=200
[2025-11-05T10:43:39.770879] [Sender 3] Iteration 22/30 | FPS=40 | ReqID=501 | Status=200
[2025-11-05T10:43:41.771672] [Sender 3] Iteration 23/30 | FPS=40 | ReqID=502 | Status=200
[2025-11-05T10:43:43.680947] [Sender 3] Iteration 24/30 | FPS=40 | ReqID=503 | Status=200
[2025-11-05T10:43:45.871169] [Sender 3] Iteration 25/30 | FPS=40 | ReqID=504 | Status=200
[2025-11-05T10:43:47.558915] [Sender 3] Iteration 26/30 | FPS=40 | ReqID=505 | Status=200
[2025-11-05T10:43:49.573410] [Sender 3] Iteration 27/30 | FPS=40 | ReqID=506 | Status=200
[2025-11-05T10:43:51.446382] [Sender 3] Iteration 28/30 | FPS=40 | ReqID=507 | Status=200
