[2025-11-20T18:12:27.861894] === Starting network test ===
[2025-11-20T18:12:49.608489] Ping to 8.8.8.8: 15.08 ms
[2025-11-20T18:12:49.608489] Download Speed: 51.16 Mbps
[2025-11-20T18:12:49.608489] Upload Speed: 21.57 Mbps
[2025-11-20T18:12:49.608489] 
=== Starting test at 1 FPS ===
[2025-11-20T18:12:50.687782] Iteration 1/60 | FPS=1 | Status=200
[2025-11-20T18:12:52.163630] Iteration 2/60 | FPS=1 | Status=200
[2025-11-20T18:12:53.609261] Iteration 3/60 | FPS=1 | Status=200
[2025-11-20T18:12:55.032254] Iteration 4/60 | FPS=1 | Status=200
[2025-11-20T18:12:56.475455] Iteration 5/60 | FPS=1 | Status=200
[2025-11-20T18:12:57.924349] Iteration 6/60 | FPS=1 | Status=200
[2025-11-20T18:12:59.341403] Iteration 7/60 | FPS=1 | Status=200
[2025-11-20T18:13:00.770018] Iteration 8/60 | FPS=1 | Status=200
[2025-11-20T18:13:02.182945] Iteration 9/60 | FPS=1 | Status=200
[2025-11-20T18:13:03.605941] Iteration 10/60 | FPS=1 | Status=200
[2025-11-20T18:13:05.018177] Iteration 11/60 | FPS=1 | Status=200
[2025-11-20T18:13:06.438844] Iteration 12/60 | FPS=1 | Status=200
[2025-11-20T18:13:07.859636] Iteration 13/60 | FPS=1 | Status=200
[2025-11-20T18:13:09.283294] Iteration 14/60 | FPS=1 | Status=200
[2025-11-20T18:13:10.696776] Iteration 15/60 | FPS=1 | Status=200
[2025-11-20T18:13:12.110388] Iteration 16/60 | FPS=1 | Status=200
[2025-11-20T18:13:13.532288] Iteration 17/60 | FPS=1 | Status=200
[2025-11-20T18:13:14.945988] Iteration 18/60 | FPS=1 | Status=200
[2025-11-20T18:13:16.380012] Iteration 19/60 | FPS=1 | Status=200
[2025-11-20T18:13:17.796365] Iteration 20/60 | FPS=1 | Status=200
[2025-11-20T18:13:19.195695] Iteration 21/60 | FPS=1 | Status=200
[2025-11-20T18:13:20.602224] Iteration 22/60 | FPS=1 | Status=200
[2025-11-20T18:13:22.022301] Iteration 23/60 | FPS=1 | Status=200
[2025-11-20T18:13:23.453238] Iteration 24/60 | FPS=1 | Status=200
[2025-11-20T18:13:24.857884] Iteration 25/60 | FPS=1 | Status=200
[2025-11-20T18:13:26.263820] Iteration 26/60 | FPS=1 | Status=200
[2025-11-20T18:13:27.690807] Iteration 27/60 | FPS=1 | Status=200
[2025-11-20T18:13:29.120150] Iteration 28/60 | FPS=1 | Status=200
[2025-11-20T18:13:30.570072] Iteration 29/60 | FPS=1 | Status=200
[2025-11-20T18:13:32.013511] Iteration 30/60 | FPS=1 | Status=200
[2025-11-20T18:13:33.418068] Iteration 31/60 | FPS=1 | Status=200
[2025-11-20T18:13:34.827922] Iteration 32/60 | FPS=1 | Status=200
[2025-11-20T18:13:36.237684] Iteration 33/60 | FPS=1 | Status=200
[2025-11-20T18:13:37.664915] Iteration 34/60 | FPS=1 | Status=200
[2025-11-20T18:13:39.088543] Iteration 35/60 | FPS=1 | Status=200
[2025-11-20T18:13:40.524710] Iteration 36/60 | FPS=1 | Status=200
[2025-11-20T18:13:41.947387] Iteration 37/60 | FPS=1 | Status=200
[2025-11-20T18:13:43.363897] Iteration 38/60 | FPS=1 | Status=200
[2025-11-20T18:13:44.770262] Iteration 39/60 | FPS=1 | Status=200
[2025-11-20T18:13:46.194190] Iteration 40/60 | FPS=1 | Status=200
[2025-11-20T18:13:47.642369] Iteration 41/60 | FPS=1 | Status=200
[2025-11-20T18:13:49.081167] Iteration 42/60 | FPS=1 | Status=200
[2025-11-20T18:13:50.518116] Iteration 43/60 | FPS=1 | Status=200
[2025-11-20T18:13:51.953211] Iteration 44/60 | FPS=1 | Status=200
[2025-11-20T18:13:53.391322] Iteration 45/60 | FPS=1 | Status=200
[2025-11-20T18:13:54.822416] Iteration 46/60 | FPS=1 | Status=200
[2025-11-20T18:13:56.257261] Iteration 47/60 | FPS=1 | Status=200
[2025-11-20T18:13:57.691354] Iteration 48/60 | FPS=1 | Status=200
[2025-11-20T18:13:59.100637] Iteration 49/60 | FPS=1 | Status=200
[2025-11-20T18:14:00.522478] Iteration 50/60 | FPS=1 | Status=200
[2025-11-20T18:14:01.940688] Iteration 51/60 | FPS=1 | Status=200
[2025-11-20T18:14:03.386191] Iteration 52/60 | FPS=1 | Status=200
[2025-11-20T18:14:04.827268] Iteration 53/60 | FPS=1 | Status=200
[2025-11-20T18:14:06.276194] Iteration 54/60 | FPS=1 | Status=200
[2025-11-20T18:14:07.706536] Iteration 55/60 | FPS=1 | Status=200
[2025-11-20T18:14:09.139678] Iteration 56/60 | FPS=1 | Status=200
[2025-11-20T18:14:10.569468] Iteration 57/60 | FPS=1 | Status=200
[2025-11-20T18:14:11.998134] Iteration 58/60 | FPS=1 | Status=200
[2025-11-20T18:14:13.443096] Iteration 59/60 | FPS=1 | Status=200
[2025-11-20T18:14:14.878568] Iteration 60/60 | FPS=1 | Status=200
[2025-11-20T18:14:15.878667] Finished test at 1 FPS in 86.27 seconds
[2025-11-20T18:14:15.878667] 
=== Starting test at 5 FPS ===
[2025-11-20T18:14:16.312883] Iteration 1/60 | FPS=5 | Status=200
[2025-11-20T18:14:16.956579] Iteration 2/60 | FPS=5 | Status=200
[2025-11-20T18:14:17.593663] Iteration 3/60 | FPS=5 | Status=200
[2025-11-20T18:14:18.229172] Iteration 4/60 | FPS=5 | Status=200
[2025-11-20T18:14:18.877912] Iteration 5/60 | FPS=5 | Status=200
[2025-11-20T18:14:19.536466] Iteration 6/60 | FPS=5 | Status=200
[2025-11-20T18:14:20.167016] Iteration 7/60 | FPS=5 | Status=200
[2025-11-20T18:14:20.796751] Iteration 8/60 | FPS=5 | Status=200
[2025-11-20T18:14:21.429174] Iteration 9/60 | FPS=5 | Status=200
[2025-11-20T18:14:22.076610] Iteration 10/60 | FPS=5 | Status=200
[2025-11-20T18:14:22.709546] Iteration 11/60 | FPS=5 | Status=200
[2025-11-20T18:14:23.352353] Iteration 12/60 | FPS=5 | Status=200
[2025-11-20T18:14:24.001074] Iteration 13/60 | FPS=5 | Status=200
[2025-11-20T18:14:24.641068] Iteration 14/60 | FPS=5 | Status=200
[2025-11-20T18:14:25.279603] Iteration 15/60 | FPS=5 | Status=200
[2025-11-20T18:14:25.918312] Iteration 16/60 | FPS=5 | Status=200
[2025-11-20T18:14:26.565666] Iteration 17/60 | FPS=5 | Status=200
[2025-11-20T18:14:27.200536] Iteration 18/60 | FPS=5 | Status=200
[2025-11-20T18:14:27.837725] Iteration 19/60 | FPS=5 | Status=200
[2025-11-20T18:14:28.469417] Iteration 20/60 | FPS=5 | Status=200
[2025-11-20T18:14:29.119907] Iteration 21/60 | FPS=5 | Status=200
[2025-11-20T18:14:29.746432] Iteration 22/60 | FPS=5 | Status=200
[2025-11-20T18:14:30.378419] Iteration 23/60 | FPS=5 | Status=200
[2025-11-20T18:14:31.021736] Iteration 24/60 | FPS=5 | Status=200
[2025-11-20T18:14:31.665344] Iteration 25/60 | FPS=5 | Status=200
[2025-11-20T18:14:32.337982] Iteration 26/60 | FPS=5 | Status=200
[2025-11-20T18:14:32.969133] Iteration 27/60 | FPS=5 | Status=200
[2025-11-20T18:14:33.608406] Iteration 28/60 | FPS=5 | Status=200
[2025-11-20T18:14:34.243478] Iteration 29/60 | FPS=5 | Status=200
[2025-11-20T18:14:34.876847] Iteration 30/60 | FPS=5 | Status=200
[2025-11-20T18:14:35.512743] Iteration 31/60 | FPS=5 | Status=200
[2025-11-20T18:14:36.275046] Iteration 32/60 | FPS=5 | Status=200
[2025-11-20T18:14:36.930317] Iteration 33/60 | FPS=5 | Status=200
[2025-11-20T18:14:37.580857] Iteration 34/60 | FPS=5 | Status=200
[2025-11-20T18:14:38.223472] Iteration 35/60 | FPS=5 | Status=200
[2025-11-20T18:14:38.853271] Iteration 36/60 | FPS=5 | Status=200
[2025-11-20T18:14:39.514243] Iteration 37/60 | FPS=5 | Status=200
[2025-11-20T18:14:40.154223] Iteration 38/60 | FPS=5 | Status=200
[2025-11-20T18:14:40.801755] Iteration 39/60 | FPS=5 | Status=200
[2025-11-20T18:14:41.448510] Iteration 40/60 | FPS=5 | Status=200
[2025-11-20T18:14:42.083642] Iteration 41/60 | FPS=5 | Status=200
[2025-11-20T18:14:42.717809] Iteration 42/60 | FPS=5 | Status=200
[2025-11-20T18:14:43.364868] Iteration 43/60 | FPS=5 | Status=200
[2025-11-20T18:14:44.003416] Iteration 44/60 | FPS=5 | Status=200
[2025-11-20T18:14:44.640368] Iteration 45/60 | FPS=5 | Status=200
[2025-11-20T18:14:45.286803] Iteration 46/60 | FPS=5 | Status=200
[2025-11-20T18:14:45.943027] Iteration 47/60 | FPS=5 | Status=200
[2025-11-20T18:14:46.586798] Iteration 48/60 | FPS=5 | Status=200
[2025-11-20T18:14:47.255103] Iteration 49/60 | FPS=5 | Status=200
[2025-11-20T18:14:47.892717] Iteration 50/60 | FPS=5 | Status=200
[2025-11-20T18:14:48.541303] Iteration 51/60 | FPS=5 | Status=200
[2025-11-20T18:14:49.181011] Iteration 52/60 | FPS=5 | Status=200
[2025-11-20T18:14:49.823522] Iteration 53/60 | FPS=5 | Status=200
[2025-11-20T18:14:50.463681] Iteration 54/60 | FPS=5 | Status=200
[2025-11-20T18:14:51.099033] Iteration 55/60 | FPS=5 | Status=200
[2025-11-20T18:14:51.742483] Iteration 56/60 | FPS=5 | Status=200
[2025-11-20T18:14:52.384571] Iteration 57/60 | FPS=5 | Status=200
[2025-11-20T18:14:53.012518] Iteration 58/60 | FPS=5 | Status=200
[2025-11-20T18:14:53.651510] Iteration 59/60 | FPS=5 | Status=200
[2025-11-20T18:14:54.296464] Iteration 60/60 | FPS=5 | Status=200
[2025-11-20T18:14:54.497301] Finished test at 5 FPS in 38.62 seconds
[2025-11-20T18:14:54.497301] 
=== Starting test at 10 FPS ===
[2025-11-20T18:14:54.938881] Iteration 1/60 | FPS=10 | Status=200
[2025-11-20T18:14:55.486846] Iteration 2/60 | FPS=10 | Status=200
[2025-11-20T18:14:56.029050] Iteration 3/60 | FPS=10 | Status=200
[2025-11-20T18:14:56.572464] Iteration 4/60 | FPS=10 | Status=200
[2025-11-20T18:14:57.110488] Iteration 5/60 | FPS=10 | Status=200
[2025-11-20T18:14:57.659833] Iteration 6/60 | FPS=10 | Status=200
[2025-11-20T18:14:58.198962] Iteration 7/60 | FPS=10 | Status=200
[2025-11-20T18:14:58.751133] Iteration 8/60 | FPS=10 | Status=200
[2025-11-20T18:14:59.307857] Iteration 9/60 | FPS=10 | Status=200
[2025-11-20T18:14:59.855579] Iteration 10/60 | FPS=10 | Status=200
[2025-11-20T18:15:00.399124] Iteration 11/60 | FPS=10 | Status=200
[2025-11-20T18:15:00.944766] Iteration 12/60 | FPS=10 | Status=200
[2025-11-20T18:15:01.480689] Iteration 13/60 | FPS=10 | Status=200
[2025-11-20T18:15:02.022890] Iteration 14/60 | FPS=10 | Status=200
[2025-11-20T18:15:02.587905] Iteration 15/60 | FPS=10 | Status=200
[2025-11-20T18:15:03.126578] Iteration 16/60 | FPS=10 | Status=200
[2025-11-20T18:15:03.675142] Iteration 17/60 | FPS=10 | Status=200
[2025-11-20T18:15:04.224829] Iteration 18/60 | FPS=10 | Status=200
[2025-11-20T18:15:04.768992] Iteration 19/60 | FPS=10 | Status=200
[2025-11-20T18:15:05.317233] Iteration 20/60 | FPS=10 | Status=200
[2025-11-20T18:15:05.861636] Iteration 21/60 | FPS=10 | Status=200
