[2025-10-13T12:28:00.057765] === Starting network test ===
[2025-10-13T12:28:21.859270] Ping to 8.8.8.8: 14.59 ms
[2025-10-13T12:28:21.859270] Download Speed: 50.69 Mbps
[2025-10-13T12:28:21.859270] Upload Speed: 20.93 Mbps
[2025-10-13T12:28:21.859270] 
=== Starting test at 1 FPS ===
[2025-10-13T12:28:23.238073] Iteration 1/30 | FPS=1 | Status=200
[2025-10-13T12:28:25.135041] Iteration 2/30 | FPS=1 | Status=200
[2025-10-13T12:28:26.958052] Iteration 3/30 | FPS=1 | Status=200
[2025-10-13T12:28:28.795472] Iteration 4/30 | FPS=1 | Status=200
[2025-10-13T12:28:30.621693] Iteration 5/30 | FPS=1 | Status=200
[2025-10-13T12:28:32.459268] Iteration 6/30 | FPS=1 | Status=200
[2025-10-13T12:28:34.275869] Iteration 7/30 | FPS=1 | Status=200
[2025-10-13T12:28:36.101360] Iteration 8/30 | FPS=1 | Status=200
[2025-10-13T12:28:37.938025] Iteration 9/30 | FPS=1 | Status=200
[2025-10-13T12:28:39.774867] Iteration 10/30 | FPS=1 | Status=200
[2025-10-13T12:28:41.591895] Iteration 11/30 | FPS=1 | Status=200
[2025-10-13T12:28:43.405472] Iteration 12/30 | FPS=1 | Status=200
[2025-10-13T12:28:45.231935] Iteration 13/30 | FPS=1 | Status=200
[2025-10-13T12:28:47.049733] Iteration 14/30 | FPS=1 | Status=200
[2025-10-13T12:28:48.885005] Iteration 15/30 | FPS=1 | Status=200
[2025-10-13T12:28:50.701864] Iteration 16/30 | FPS=1 | Status=200
[2025-10-13T12:28:52.531668] Iteration 17/30 | FPS=1 | Status=200
[2025-10-13T12:28:54.360444] Iteration 18/30 | FPS=1 | Status=200
[2025-10-13T12:28:56.200509] Iteration 19/30 | FPS=1 | Status=200
[2025-10-13T12:28:58.028072] Iteration 20/30 | FPS=1 | Status=200
[2025-10-13T12:28:59.859518] Iteration 21/30 | FPS=1 | Status=200
[2025-10-13T12:29:01.687716] Iteration 22/30 | FPS=1 | Status=200
[2025-10-13T12:29:03.485537] Iteration 23/30 | FPS=1 | Status=200
[2025-10-13T12:29:05.301254] Iteration 24/30 | FPS=1 | Status=200
[2025-10-13T12:29:07.129671] Iteration 25/30 | FPS=1 | Status=200
[2025-10-13T12:29:08.947544] Iteration 26/30 | FPS=1 | Status=200
[2025-10-13T12:29:10.774447] Iteration 27/30 | FPS=1 | Status=200
[2025-10-13T12:29:12.587640] Iteration 28/30 | FPS=1 | Status=200
[2025-10-13T12:29:14.422646] Iteration 29/30 | FPS=1 | Status=200
[2025-10-13T12:29:16.216673] Iteration 30/30 | FPS=1 | Status=200
[2025-10-13T12:29:17.217397] Finished test at 1 FPS in 55.36 seconds
[2025-10-13T12:29:17.217397] 
=== Starting test at 5 FPS ===
[2025-10-13T12:29:18.022031] Iteration 1/30 | FPS=5 | Status=200
[2025-10-13T12:29:19.018001] Iteration 2/30 | FPS=5 | Status=200
[2025-10-13T12:29:20.050760] Iteration 3/30 | FPS=5 | Status=200
[2025-10-13T12:29:21.106339] Iteration 4/30 | FPS=5 | Status=200
[2025-10-13T12:29:22.140122] Iteration 5/30 | FPS=5 | Status=200
[2025-10-13T12:29:23.153366] Iteration 6/30 | FPS=5 | Status=200
[2025-10-13T12:29:24.156214] Iteration 7/30 | FPS=5 | Status=200
[2025-10-13T12:29:25.189016] Iteration 8/30 | FPS=5 | Status=200
[2025-10-13T12:29:26.213614] Iteration 9/30 | FPS=5 | Status=200
[2025-10-13T12:29:27.216339] Iteration 10/30 | FPS=5 | Status=200
[2025-10-13T12:29:28.242421] Iteration 11/30 | FPS=5 | Status=200
[2025-10-13T12:29:29.264222] Iteration 12/30 | FPS=5 | Status=200
[2025-10-13T12:29:30.287090] Iteration 13/30 | FPS=5 | Status=200
[2025-10-13T12:29:31.321887] Iteration 14/30 | FPS=5 | Status=200
[2025-10-13T12:29:32.366065] Iteration 15/30 | FPS=5 | Status=200
[2025-10-13T12:29:33.395839] Iteration 16/30 | FPS=5 | Status=200
[2025-10-13T12:29:34.427904] Iteration 17/30 | FPS=5 | Status=200
[2025-10-13T12:29:35.460881] Iteration 18/30 | FPS=5 | Status=200
[2025-10-13T12:29:36.470281] Iteration 19/30 | FPS=5 | Status=200
[2025-10-13T12:29:37.477390] Iteration 20/30 | FPS=5 | Status=200
[2025-10-13T12:29:38.493737] Iteration 21/30 | FPS=5 | Status=200
[2025-10-13T12:29:39.532425] Iteration 22/30 | FPS=5 | Status=200
[2025-10-13T12:29:40.553379] Iteration 23/30 | FPS=5 | Status=200
[2025-10-13T12:29:41.545898] Iteration 24/30 | FPS=5 | Status=200
[2025-10-13T12:29:42.562330] Iteration 25/30 | FPS=5 | Status=200
[2025-10-13T12:29:43.590057] Iteration 26/30 | FPS=5 | Status=200
[2025-10-13T12:29:44.604138] Iteration 27/30 | FPS=5 | Status=200
[2025-10-13T12:29:45.626825] Iteration 28/30 | FPS=5 | Status=200
[2025-10-13T12:29:46.643331] Iteration 29/30 | FPS=5 | Status=200
[2025-10-13T12:29:47.665590] Iteration 30/30 | FPS=5 | Status=200
[2025-10-13T12:29:47.866867] Finished test at 5 FPS in 30.65 seconds
[2025-10-13T12:29:47.866867] 
=== Starting test at 10 FPS ===
[2025-10-13T12:29:48.664850] Iteration 1/30 | FPS=10 | Status=200
[2025-10-13T12:29:49.587024] Iteration 2/30 | FPS=10 | Status=200
[2025-10-13T12:29:50.510742] Iteration 3/30 | FPS=10 | Status=200
[2025-10-13T12:29:51.419199] Iteration 4/30 | FPS=10 | Status=200
[2025-10-13T12:29:52.338272] Iteration 5/30 | FPS=10 | Status=200
[2025-10-13T12:29:53.249370] Iteration 6/30 | FPS=10 | Status=200
[2025-10-13T12:29:54.157460] Iteration 7/30 | FPS=10 | Status=200
[2025-10-13T12:29:55.069731] Iteration 8/30 | FPS=10 | Status=200
[2025-10-13T12:29:55.997965] Iteration 9/30 | FPS=10 | Status=200
[2025-10-13T12:29:56.917871] Iteration 10/30 | FPS=10 | Status=200
[2025-10-13T12:29:57.838446] Iteration 11/30 | FPS=10 | Status=200
[2025-10-13T12:29:58.749474] Iteration 12/30 | FPS=10 | Status=200
[2025-10-13T12:29:59.679583] Iteration 13/30 | FPS=10 | Status=200
[2025-10-13T12:30:00.622531] Iteration 14/30 | FPS=10 | Status=200
[2025-10-13T12:30:01.543281] Iteration 15/30 | FPS=10 | Status=200
[2025-10-13T12:30:02.450297] Iteration 16/30 | FPS=10 | Status=200
[2025-10-13T12:30:03.363962] Iteration 17/30 | FPS=10 | Status=200
[2025-10-13T12:30:04.267715] Iteration 18/30 | FPS=10 | Status=200
[2025-10-13T12:30:05.195911] Iteration 19/30 | FPS=10 | Status=200
[2025-10-13T12:30:06.102890] Iteration 20/30 | FPS=10 | Status=200
[2025-10-13T12:30:07.023147] Iteration 21/30 | FPS=10 | Status=200
[2025-10-13T12:30:07.940943] Iteration 22/30 | FPS=10 | Status=200
[2025-10-13T12:30:09.018764] Iteration 23/30 | FPS=10 | Status=200
[2025-10-13T12:30:10.153102] Iteration 24/30 | FPS=10 | Status=200
[2025-10-13T12:30:11.335509] Iteration 25/30 | FPS=10 | Status=200
[2025-10-13T12:30:12.429434] Iteration 26/30 | FPS=10 | Status=200
[2025-10-13T12:30:13.682391] Iteration 27/30 | FPS=10 | Status=200
[2025-10-13T12:30:15.632978] Iteration 28/30 | FPS=10 | Status=200
[2025-10-13T12:30:16.820678] Iteration 29/30 | FPS=10 | Status=200
[2025-10-13T12:30:17.726084] Iteration 30/30 | FPS=10 | Status=200
[2025-10-13T12:30:17.826827] Finished test at 10 FPS in 29.96 seconds
[2025-10-13T12:30:17.826827] 
=== Starting test at 20 FPS ===
[2025-10-13T12:30:18.645979] Iteration 1/30 | FPS=20 | Status=200
[2025-10-13T12:30:19.498308] Iteration 2/30 | FPS=20 | Status=200
[2025-10-13T12:30:20.356940] Iteration 3/30 | FPS=20 | Status=200
[2025-10-13T12:30:21.248714] Iteration 4/30 | FPS=20 | Status=200
[2025-10-13T12:30:22.118658] Iteration 5/30 | FPS=20 | Status=200
[2025-10-13T12:30:22.991036] Iteration 6/30 | FPS=20 | Status=200
[2025-10-13T12:30:23.845646] Iteration 7/30 | FPS=20 | Status=200
[2025-10-13T12:30:24.726936] Iteration 8/30 | FPS=20 | Status=200
[2025-10-13T12:30:25.586041] Iteration 9/30 | FPS=20 | Status=200
[2025-10-13T12:30:26.441351] Iteration 10/30 | FPS=20 | Status=200
[2025-10-13T12:30:27.306247] Iteration 11/30 | FPS=20 | Status=200
[2025-10-13T12:30:28.162893] Iteration 12/30 | FPS=20 | Status=200
[2025-10-13T12:30:29.011056] Iteration 13/30 | FPS=20 | Status=200
[2025-10-13T12:30:29.851744] Iteration 14/30 | FPS=20 | Status=200
[2025-10-13T12:30:30.696747] Iteration 15/30 | FPS=20 | Status=200
[2025-10-13T12:30:31.556733] Iteration 16/30 | FPS=20 | Status=200
[2025-10-13T12:30:32.396293] Iteration 17/30 | FPS=20 | Status=200
[2025-10-13T12:30:33.256048] Iteration 18/30 | FPS=20 | Status=200
[2025-10-13T12:30:34.119588] Iteration 19/30 | FPS=20 | Status=200
[2025-10-13T12:30:34.967051] Iteration 20/30 | FPS=20 | Status=200
[2025-10-13T12:30:35.811376] Iteration 21/30 | FPS=20 | Status=200
[2025-10-13T12:30:36.659662] Iteration 22/30 | FPS=20 | Status=200
[2025-10-13T12:30:37.518780] Iteration 23/30 | FPS=20 | Status=200
[2025-10-13T12:30:38.354648] Iteration 24/30 | FPS=20 | Status=200
[2025-10-13T12:30:39.225272] Iteration 25/30 | FPS=20 | Status=200
