[2025-10-13T15:56:08.702475] === Starting network test ===
[2025-10-13T15:56:30.458245] Ping to 8.8.8.8: 13.84 ms
[2025-10-13T15:56:30.458245] Download Speed: 51.58 Mbps
[2025-10-13T15:56:30.458245] Upload Speed: 21.12 Mbps
[2025-10-13T15:56:30.458245] 
=== Starting test at 1 FPS ===
[2025-10-13T15:56:31.272805] Iteration 1/30 | FPS=1 | Status=200
[2025-10-13T15:56:32.878246] Iteration 2/30 | FPS=1 | Status=200
[2025-10-13T15:56:34.452687] Iteration 3/30 | FPS=1 | Status=200
[2025-10-13T15:56:36.021731] Iteration 4/30 | FPS=1 | Status=200
[2025-10-13T15:56:37.655487] Iteration 5/30 | FPS=1 | Status=200
[2025-10-13T15:56:39.261602] Iteration 6/30 | FPS=1 | Status=200
[2025-10-13T15:56:40.837170] Iteration 7/30 | FPS=1 | Status=200
[2025-10-13T15:56:42.398086] Iteration 8/30 | FPS=1 | Status=200
[2025-10-13T15:56:43.991129] Iteration 9/30 | FPS=1 | Status=200
[2025-10-13T15:56:45.566583] Iteration 10/30 | FPS=1 | Status=200
[2025-10-13T15:56:47.136505] Iteration 11/30 | FPS=1 | Status=200
[2025-10-13T15:56:48.692766] Iteration 12/30 | FPS=1 | Status=200
[2025-10-13T15:56:50.257731] Iteration 13/30 | FPS=1 | Status=200
[2025-10-13T15:56:51.827751] Iteration 14/30 | FPS=1 | Status=200
[2025-10-13T15:56:53.435422] Iteration 15/30 | FPS=1 | Status=200
[2025-10-13T15:56:55.004943] Iteration 16/30 | FPS=1 | Status=200
[2025-10-13T15:56:56.564946] Iteration 17/30 | FPS=1 | Status=200
[2025-10-13T15:56:58.146221] Iteration 18/30 | FPS=1 | Status=200
[2025-10-13T15:56:59.724618] Iteration 19/30 | FPS=1 | Status=200
[2025-10-13T15:57:01.300824] Iteration 20/30 | FPS=1 | Status=200
[2025-10-13T15:57:02.908363] Iteration 21/30 | FPS=1 | Status=200
[2025-10-13T15:57:04.457555] Iteration 22/30 | FPS=1 | Status=200
[2025-10-13T15:57:06.021758] Iteration 23/30 | FPS=1 | Status=200
[2025-10-13T15:57:07.628041] Iteration 24/30 | FPS=1 | Status=200
[2025-10-13T15:57:09.189207] Iteration 25/30 | FPS=1 | Status=200
[2025-10-13T15:57:10.798856] Iteration 26/30 | FPS=1 | Status=200
[2025-10-13T15:57:12.362683] Iteration 27/30 | FPS=1 | Status=200
[2025-10-13T15:57:13.925825] Iteration 28/30 | FPS=1 | Status=200
[2025-10-13T15:57:15.485083] Iteration 29/30 | FPS=1 | Status=200
[2025-10-13T15:57:17.062514] Iteration 30/30 | FPS=1 | Status=200
[2025-10-13T15:57:18.063650] Finished test at 1 FPS in 47.61 seconds
[2025-10-13T15:57:18.063650] 
=== Starting test at 5 FPS ===
[2025-10-13T15:57:18.611423] Iteration 1/30 | FPS=5 | Status=200
[2025-10-13T15:57:19.368459] Iteration 2/30 | FPS=5 | Status=200
[2025-10-13T15:57:20.143415] Iteration 3/30 | FPS=5 | Status=200
[2025-10-13T15:57:20.939906] Iteration 4/30 | FPS=5 | Status=200
[2025-10-13T15:57:21.725194] Iteration 5/30 | FPS=5 | Status=200
[2025-10-13T15:57:22.541123] Iteration 6/30 | FPS=5 | Status=200
[2025-10-13T15:57:23.399746] Iteration 7/30 | FPS=5 | Status=200
[2025-10-13T15:57:24.160649] Iteration 8/30 | FPS=5 | Status=200
[2025-10-13T15:57:24.908865] Iteration 9/30 | FPS=5 | Status=200
[2025-10-13T15:57:25.679312] Iteration 10/30 | FPS=5 | Status=200
[2025-10-13T15:57:26.476147] Iteration 11/30 | FPS=5 | Status=200
[2025-10-13T15:57:27.247872] Iteration 12/30 | FPS=5 | Status=200
[2025-10-13T15:57:28.001386] Iteration 13/30 | FPS=5 | Status=200
[2025-10-13T15:57:28.758100] Iteration 14/30 | FPS=5 | Status=200
[2025-10-13T15:57:29.538134] Iteration 15/30 | FPS=5 | Status=200
[2025-10-13T15:57:30.324663] Iteration 16/30 | FPS=5 | Status=200
[2025-10-13T15:57:31.074594] Iteration 17/30 | FPS=5 | Status=200
[2025-10-13T15:57:31.869925] Iteration 18/30 | FPS=5 | Status=200
[2025-10-13T15:57:32.647616] Iteration 19/30 | FPS=5 | Status=200
[2025-10-13T15:57:33.424248] Iteration 20/30 | FPS=5 | Status=200
[2025-10-13T15:57:34.197143] Iteration 21/30 | FPS=5 | Status=200
[2025-10-13T15:57:34.962194] Iteration 22/30 | FPS=5 | Status=200
[2025-10-13T15:57:35.725276] Iteration 23/30 | FPS=5 | Status=200
[2025-10-13T15:57:36.487264] Iteration 24/30 | FPS=5 | Status=200
[2025-10-13T15:57:37.248891] Iteration 25/30 | FPS=5 | Status=200
[2025-10-13T15:57:38.010329] Iteration 26/30 | FPS=5 | Status=200
[2025-10-13T15:57:38.752433] Iteration 27/30 | FPS=5 | Status=200
[2025-10-13T15:57:39.490515] Iteration 28/30 | FPS=5 | Status=200
[2025-10-13T15:57:40.246037] Iteration 29/30 | FPS=5 | Status=200
[2025-10-13T15:57:41.004781] Iteration 30/30 | FPS=5 | Status=200
[2025-10-13T15:57:41.205194] Finished test at 5 FPS in 23.14 seconds
[2025-10-13T15:57:41.205194] 
=== Starting test at 10 FPS ===
[2025-10-13T15:57:41.771733] Iteration 1/30 | FPS=10 | Status=200
[2025-10-13T15:57:42.497728] Iteration 2/30 | FPS=10 | Status=200
[2025-10-13T15:57:43.234238] Iteration 3/30 | FPS=10 | Status=200
[2025-10-13T15:57:44.044754] Iteration 4/30 | FPS=10 | Status=200
[2025-10-13T15:57:45.064679] Iteration 5/30 | FPS=10 | Status=200
[2025-10-13T15:57:47.121398] Iteration 6/30 | FPS=10 | Status=200
[2025-10-13T15:57:47.860519] Iteration 7/30 | FPS=10 | Status=200
[2025-10-13T15:57:48.561407] Iteration 8/30 | FPS=10 | Status=200
[2025-10-13T15:57:49.258804] Iteration 9/30 | FPS=10 | Status=200
[2025-10-13T15:57:49.988633] Iteration 10/30 | FPS=10 | Status=200
[2025-10-13T15:57:50.801083] Iteration 11/30 | FPS=10 | Status=200
[2025-10-13T15:57:51.646258] Iteration 12/30 | FPS=10 | Status=200
[2025-10-13T15:57:52.403746] Iteration 13/30 | FPS=10 | Status=200
[2025-10-13T15:57:53.204521] Iteration 14/30 | FPS=10 | Status=200
[2025-10-13T15:57:53.905243] Iteration 15/30 | FPS=10 | Status=200
[2025-10-13T15:57:54.652916] Iteration 16/30 | FPS=10 | Status=200
[2025-10-13T15:57:55.328625] Iteration 17/30 | FPS=10 | Status=200
[2025-10-13T15:57:56.002693] Iteration 18/30 | FPS=10 | Status=200
[2025-10-13T15:57:56.652201] Iteration 19/30 | FPS=10 | Status=200
[2025-10-13T15:57:57.317364] Iteration 20/30 | FPS=10 | Status=200
[2025-10-13T15:57:57.994278] Iteration 21/30 | FPS=10 | Status=200
[2025-10-13T15:57:58.683755] Iteration 22/30 | FPS=10 | Status=200
[2025-10-13T15:57:59.350706] Iteration 23/30 | FPS=10 | Status=200
[2025-10-13T15:58:00.013871] Iteration 24/30 | FPS=10 | Status=200
[2025-10-13T15:58:00.675369] Iteration 25/30 | FPS=10 | Status=200
[2025-10-13T15:58:01.373403] Iteration 26/30 | FPS=10 | Status=200
[2025-10-13T15:58:02.055067] Iteration 27/30 | FPS=10 | Status=200
[2025-10-13T15:58:02.716098] Iteration 28/30 | FPS=10 | Status=200
[2025-10-13T15:58:03.396872] Iteration 29/30 | FPS=10 | Status=200
[2025-10-13T15:58:04.080368] Iteration 30/30 | FPS=10 | Status=200
[2025-10-13T15:58:04.181232] Finished test at 10 FPS in 22.98 seconds
[2025-10-13T15:58:04.181232] 
=== Starting test at 20 FPS ===
[2025-10-13T15:58:04.776492] Iteration 1/30 | FPS=20 | Status=200
[2025-10-13T15:58:05.397720] Iteration 2/30 | FPS=20 | Status=200
[2025-10-13T15:58:06.118524] Iteration 3/30 | FPS=20 | Status=200
[2025-10-13T15:58:06.743039] Iteration 4/30 | FPS=20 | Status=200
[2025-10-13T15:58:07.359997] Iteration 5/30 | FPS=20 | Status=200
[2025-10-13T15:58:07.961150] Iteration 6/30 | FPS=20 | Status=200
[2025-10-13T15:58:08.582227] Iteration 7/30 | FPS=20 | Status=200
[2025-10-13T15:58:09.189074] Iteration 8/30 | FPS=20 | Status=200
[2025-10-13T15:58:09.801413] Iteration 9/30 | FPS=20 | Status=200
[2025-10-13T15:58:10.424162] Iteration 10/30 | FPS=20 | Status=200
[2025-10-13T15:58:11.101256] Iteration 11/30 | FPS=20 | Status=200
[2025-10-13T15:58:11.753663] Iteration 12/30 | FPS=20 | Status=200
[2025-10-13T15:58:12.385958] Iteration 13/30 | FPS=20 | Status=200
[2025-10-13T15:58:13.031085] Iteration 14/30 | FPS=20 | Status=200
[2025-10-13T15:58:13.652338] Iteration 15/30 | FPS=20 | Status=200
[2025-10-13T15:58:14.278621] Iteration 16/30 | FPS=20 | Status=200
[2025-10-13T15:58:14.936878] Iteration 17/30 | FPS=20 | Status=200
[2025-10-13T15:58:15.679582] Iteration 18/30 | FPS=20 | Status=200
[2025-10-13T15:58:16.314747] Iteration 19/30 | FPS=20 | Status=200
[2025-10-13T15:58:16.974611] Iteration 20/30 | FPS=20 | Status=200
[2025-10-13T15:58:17.613310] Iteration 21/30 | FPS=20 | Status=200
[2025-10-13T15:58:18.267983] Iteration 22/30 | FPS=20 | Status=200
[2025-10-13T15:58:18.943758] Iteration 23/30 | FPS=20 | Status=200
[2025-10-13T15:58:19.675887] Iteration 24/30 | FPS=20 | Status=200
[2025-10-13T15:58:20.326326] Iteration 25/30 | FPS=20 | Status=200
[2025-10-13T15:58:21.004884] Iteration 26/30 | FPS=20 | Status=200
[2025-10-13T15:58:21.754503] Iteration 27/30 | FPS=20 | Status=200
[2025-10-13T15:58:22.447490] Iteration 28/30 | FPS=20 | Status=200
[2025-10-13T15:58:23.112478] Iteration 29/30 | FPS=20 | Status=200
[2025-10-13T15:58:23.823370] Iteration 30/30 | FPS=20 | Status=200
[2025-10-13T15:58:23.873714] Finished test at 20 FPS in 19.69 seconds
[2025-10-13T15:58:23.873714] 
=== Starting test at 40 FPS ===
[2025-10-13T15:58:24.584477] Iteration 1/30 | FPS=40 | Status=200
[2025-10-13T15:58:25.263551] Iteration 2/30 | FPS=40 | Status=200
[2025-10-13T15:58:25.923516] Iteration 3/30 | FPS=40 | Status=200
[2025-10-13T15:58:26.573129] Iteration 4/30 | FPS=40 | Status=200
[2025-10-13T15:58:27.207008] Iteration 5/30 | FPS=40 | Status=200
[2025-10-13T15:58:27.839512] Iteration 6/30 | FPS=40 | Status=200
[2025-10-13T15:58:28.433903] Iteration 7/30 | FPS=40 | Status=200
[2025-10-13T15:58:29.062012] Iteration 8/30 | FPS=40 | Status=200
[2025-10-13T15:58:29.718435] Iteration 9/30 | FPS=40 | Status=200
[2025-10-13T15:58:30.341276] Iteration 10/30 | FPS=40 | Status=200
[2025-10-13T15:58:30.920266] Iteration 11/30 | FPS=40 | Status=200
[2025-10-13T15:58:31.526369] Iteration 12/30 | FPS=40 | Status=200
[2025-10-13T15:58:32.124805] Iteration 13/30 | FPS=40 | Status=200
[2025-10-13T15:58:32.718114] Iteration 14/30 | FPS=40 | Status=200
[2025-10-13T15:58:33.316940] Iteration 15/30 | FPS=40 | Status=200
[2025-10-13T15:58:33.919476] Iteration 16/30 | FPS=40 | Status=200
