[2025-10-23T15:34:39.874583] [Sender 1] === Sender thread 1 started ===
[2025-10-23T15:34:39.874583] [Sender 1] === Starting network test ===
[2025-10-23T15:35:33.156744] [Sender 1] Ping to 8.8.8.8: 16.00 ms
[2025-10-23T15:35:33.156744] [Sender 1] Download Speed: 11.55 Mbps
[2025-10-23T15:35:33.156744] [Sender 1] Upload Speed: 4.81 Mbps
[2025-10-23T15:35:33.156744] [Sender 1] 
=== Starting test at 1 FPS ===
[2025-10-23T15:35:36.306029] [Sender 1] Iteration 1/30 | FPS=1 | ReqID=0 | Status=200
[2025-10-23T15:35:38.642566] [Sender 1] Iteration 2/30 | FPS=1 | ReqID=1 | Status=200
[2025-10-23T15:35:41.593379] [Sender 1] Iteration 3/30 | FPS=1 | ReqID=2 | Status=200
[2025-10-23T15:35:44.910715] [Sender 1] Iteration 4/30 | FPS=1 | ReqID=3 | Status=200
[2025-10-23T15:35:47.482668] [Sender 1] Iteration 5/30 | FPS=1 | ReqID=4 | Status=200
[2025-10-23T15:35:50.077266] [Sender 1] Iteration 6/30 | FPS=1 | ReqID=5 | Status=200
[2025-10-23T15:35:52.979248] [Sender 1] Iteration 7/30 | FPS=1 | ReqID=6 | Status=200
[2025-10-23T15:35:55.912350] [Sender 1] Iteration 8/30 | FPS=1 | ReqID=7 | Status=200
[2025-10-23T15:35:58.652815] [Sender 1] Iteration 9/30 | FPS=1 | ReqID=8 | Status=200
[2025-10-23T15:36:01.324920] [Sender 1] Iteration 10/30 | FPS=1 | ReqID=9 | Status=200
[2025-10-23T15:36:04.076060] [Sender 1] Iteration 11/30 | FPS=1 | ReqID=10 | Status=200
[2025-10-23T15:36:06.796889] [Sender 1] Iteration 12/30 | FPS=1 | ReqID=11 | Status=200
[2025-10-23T15:36:09.632680] [Sender 1] Iteration 13/30 | FPS=1 | ReqID=12 | Status=200
[2025-10-23T15:36:12.458420] [Sender 1] Iteration 14/30 | FPS=1 | ReqID=13 | Status=200
[2025-10-23T15:36:15.030623] [Sender 1] Iteration 15/30 | FPS=1 | ReqID=14 | Status=200
[2025-10-23T15:36:17.857971] [Sender 1] Iteration 16/30 | FPS=1 | ReqID=15 | Status=200
[2025-10-23T15:36:20.588599] [Sender 1] Iteration 17/30 | FPS=1 | ReqID=16 | Status=200
[2025-10-23T15:36:23.239213] [Sender 1] Iteration 18/30 | FPS=1 | ReqID=17 | Status=200
[2025-10-23T15:36:25.941113] [Sender 1] Iteration 19/30 | FPS=1 | ReqID=18 | Status=200
[2025-10-23T15:36:28.837602] [Sender 1] Iteration 20/30 | FPS=1 | ReqID=19 | Status=200
[2025-10-23T15:36:31.369980] [Sender 1] Iteration 21/30 | FPS=1 | ReqID=20 | Status=200
[2025-10-23T15:36:34.263729] [Sender 1] Iteration 22/30 | FPS=1 | ReqID=21 | Status=200
[2025-10-23T15:36:36.953117] [Sender 1] Iteration 23/30 | FPS=1 | ReqID=22 | Status=200
[2025-10-23T15:36:39.690774] [Sender 1] Iteration 24/30 | FPS=1 | ReqID=23 | Status=200
[2025-10-23T15:36:42.291671] [Sender 1] Iteration 25/30 | FPS=1 | ReqID=24 | Status=200
[2025-10-23T15:36:45.003587] [Sender 1] Iteration 26/30 | FPS=1 | ReqID=25 | Status=200
[2025-10-23T15:36:47.815743] [Sender 1] Iteration 27/30 | FPS=1 | ReqID=26 | Status=200
[2025-10-23T15:36:50.450039] [Sender 1] Iteration 28/30 | FPS=1 | ReqID=27 | Status=200
[2025-10-23T15:36:53.140792] [Sender 1] Iteration 29/30 | FPS=1 | ReqID=28 | Status=200
[2025-10-23T15:36:56.021938] [Sender 1] Iteration 30/30 | FPS=1 | ReqID=29 | Status=200
[2025-10-23T15:36:57.023253] [Sender 1] Finished test at 1 FPS in 83.87 seconds
[2025-10-23T15:36:57.023253] [Sender 1] 
=== Starting test at 5 FPS ===
[2025-10-23T15:36:58.725574] [Sender 1] Iteration 1/30 | FPS=5 | ReqID=30 | Status=200
[2025-10-23T15:37:01.454420] [Sender 1] Iteration 2/30 | FPS=5 | ReqID=31 | Status=200
[2025-10-23T15:37:04.224683] [Sender 1] Iteration 3/30 | FPS=5 | ReqID=32 | Status=200
[2025-10-23T15:37:06.451573] [Sender 1] Iteration 4/30 | FPS=5 | ReqID=33 | Status=200
[2025-10-23T15:37:09.060935] [Sender 1] Iteration 5/30 | FPS=5 | ReqID=34 | Status=200
[2025-10-23T15:37:11.380831] [Sender 1] Iteration 6/30 | FPS=5 | ReqID=35 | Status=200
[2025-10-23T15:37:13.687911] [Sender 1] Iteration 7/30 | FPS=5 | ReqID=36 | Status=200
[2025-10-23T15:37:16.434428] [Sender 1] Iteration 8/30 | FPS=5 | ReqID=37 | Status=200
[2025-10-23T15:37:18.853801] [Sender 1] Iteration 9/30 | FPS=5 | ReqID=38 | Status=200
[2025-10-23T15:37:21.096605] [Sender 1] Iteration 10/30 | FPS=5 | ReqID=39 | Status=200
[2025-10-23T15:37:23.636840] [Sender 1] Iteration 11/30 | FPS=5 | ReqID=40 | Status=200
[2025-10-23T15:37:26.704494] [Sender 1] Iteration 12/30 | FPS=5 | ReqID=41 | Status=200
[2025-10-23T15:37:29.197722] [Sender 1] Iteration 13/30 | FPS=5 | ReqID=42 | Status=200
[2025-10-23T15:37:31.609642] [Sender 1] Iteration 14/30 | FPS=5 | ReqID=43 | Status=200
[2025-10-23T15:37:33.879203] [Sender 1] Iteration 15/30 | FPS=5 | ReqID=44 | Status=200
[2025-10-23T15:37:36.213342] [Sender 1] Iteration 16/30 | FPS=5 | ReqID=45 | Status=200
[2025-10-23T15:37:38.977957] [Sender 1] Iteration 17/30 | FPS=5 | ReqID=46 | Status=200
[2025-10-23T15:37:41.324238] [Sender 1] Iteration 18/30 | FPS=5 | ReqID=47 | Status=200
[2025-10-23T15:37:43.776770] [Sender 1] Iteration 19/30 | FPS=5 | ReqID=48 | Status=200
[2025-10-23T15:37:46.309756] [Sender 1] Iteration 20/30 | FPS=5 | ReqID=49 | Status=200
[2025-10-23T15:37:49.124713] [Sender 1] Iteration 21/30 | FPS=5 | ReqID=50 | Status=200
[2025-10-23T15:37:51.069198] [Sender 1] Iteration 22/30 | FPS=5 | ReqID=51 | Status=200
[2025-10-23T15:37:54.124013] [Sender 1] Iteration 23/30 | FPS=5 | ReqID=52 | Status=200
[2025-10-23T15:37:56.634888] [Sender 1] Iteration 24/30 | FPS=5 | ReqID=53 | Status=200
[2025-10-23T15:37:59.289826] [Sender 1] Iteration 25/30 | FPS=5 | ReqID=54 | Status=200
[2025-10-23T15:38:01.739041] [Sender 1] Iteration 26/30 | FPS=5 | ReqID=55 | Status=200
[2025-10-23T15:38:04.117252] [Sender 1] Iteration 27/30 | FPS=5 | ReqID=56 | Status=200
[2025-10-23T15:38:06.608914] [Sender 1] Iteration 28/30 | FPS=5 | ReqID=57 | Status=200
[2025-10-23T15:38:09.130461] [Sender 1] Iteration 29/30 | FPS=5 | ReqID=58 | Status=200
[2025-10-23T15:38:11.483050] [Sender 1] Iteration 30/30 | FPS=5 | ReqID=59 | Status=200
[2025-10-23T15:38:11.685074] [Sender 1] Finished test at 5 FPS in 74.66 seconds
[2025-10-23T15:38:11.685074] [Sender 1] 
=== Starting test at 10 FPS ===
[2025-10-23T15:38:13.921441] [Sender 1] Iteration 1/30 | FPS=10 | ReqID=60 | Status=200
