[2025-10-23T15:26:03.637914] [Sender 1] === Sender thread 1 started ===
[2025-10-23T15:26:03.637914] [Sender 1] === Starting network test ===
[2025-10-23T15:26:25.970838] [Sender 1] Ping to 8.8.8.8: 25.84 ms
[2025-10-23T15:26:25.970838] [Sender 1] Download Speed: 30.22 Mbps
[2025-10-23T15:26:25.970838] [Sender 1] Upload Speed: 2.03 Mbps
[2025-10-23T15:26:25.970838] [Sender 1] 
=== Starting test at 1 FPS ===
[2025-10-23T15:26:28.049948] [Sender 1] Iteration 1/30 | FPS=1 | ReqID=0 | Status=200
[2025-10-23T15:26:30.600067] [Sender 1] Iteration 2/30 | FPS=1 | ReqID=1 | Status=200
[2025-10-23T15:26:33.075025] [Sender 1] Iteration 3/30 | FPS=1 | ReqID=2 | Status=200
[2025-10-23T15:26:35.483101] [Sender 1] Iteration 4/30 | FPS=1 | ReqID=3 | Status=200
[2025-10-23T15:26:37.885405] [Sender 1] Iteration 5/30 | FPS=1 | ReqID=4 | Status=200
[2025-10-23T15:26:40.385813] [Sender 1] Iteration 6/30 | FPS=1 | ReqID=5 | Status=200
[2025-10-23T15:26:42.834743] [Sender 1] Iteration 7/30 | FPS=1 | ReqID=6 | Status=200
[2025-10-23T15:26:45.282010] [Sender 1] Iteration 8/30 | FPS=1 | ReqID=7 | Status=200
[2025-10-23T15:26:47.745741] [Sender 1] Iteration 9/30 | FPS=1 | ReqID=8 | Status=200
[2025-10-23T15:26:50.136035] [Sender 1] Iteration 10/30 | FPS=1 | ReqID=9 | Status=200
[2025-10-23T15:26:52.577980] [Sender 1] Iteration 11/30 | FPS=1 | ReqID=10 | Status=200
[2025-10-23T15:26:55.035677] [Sender 1] Iteration 12/30 | FPS=1 | ReqID=11 | Status=200
[2025-10-23T15:26:57.416003] [Sender 1] Iteration 13/30 | FPS=1 | ReqID=12 | Status=200
[2025-10-23T15:26:59.902202] [Sender 1] Iteration 14/30 | FPS=1 | ReqID=13 | Status=200
[2025-10-23T15:27:02.318903] [Sender 1] Iteration 15/30 | FPS=1 | ReqID=14 | Status=200
[2025-10-23T15:27:04.778252] [Sender 1] Iteration 16/30 | FPS=1 | ReqID=15 | Status=200
[2025-10-23T15:27:07.133661] [Sender 1] Iteration 17/30 | FPS=1 | ReqID=16 | Status=200
[2025-10-23T15:27:09.592672] [Sender 1] Iteration 18/30 | FPS=1 | ReqID=17 | Status=200
[2025-10-23T15:27:12.121496] [Sender 1] Iteration 19/30 | FPS=1 | ReqID=18 | Status=200
[2025-10-23T15:27:14.503793] [Sender 1] Iteration 20/30 | FPS=1 | ReqID=19 | Status=200
[2025-10-23T15:27:17.054429] [Sender 1] Iteration 21/30 | FPS=1 | ReqID=20 | Status=200
[2025-10-23T15:27:19.515440] [Sender 1] Iteration 22/30 | FPS=1 | ReqID=21 | Status=200
[2025-10-23T15:27:22.123859] [Sender 1] Iteration 23/30 | FPS=1 | ReqID=22 | Status=200
[2025-10-23T15:27:24.456278] [Sender 1] Iteration 24/30 | FPS=1 | ReqID=23 | Status=200
[2025-10-23T15:27:26.854528] [Sender 1] Iteration 25/30 | FPS=1 | ReqID=24 | Status=200
[2025-10-23T15:27:29.247573] [Sender 1] Iteration 26/30 | FPS=1 | ReqID=25 | Status=200
[2025-10-23T15:27:31.620530] [Sender 1] Iteration 27/30 | FPS=1 | ReqID=26 | Status=200
[2025-10-23T15:27:34.054803] [Sender 1] Iteration 28/30 | FPS=1 | ReqID=27 | Status=200
[2025-10-23T15:27:36.564998] [Sender 1] Iteration 29/30 | FPS=1 | ReqID=28 | Status=200
[2025-10-23T15:27:38.935210] [Sender 1] Iteration 30/30 | FPS=1 | ReqID=29 | Status=200
[2025-10-23T15:27:39.937746] [Sender 1] Finished test at 1 FPS in 73.97 seconds
[2025-10-23T15:27:39.937746] [Sender 1] 
=== Starting test at 5 FPS ===
[2025-10-23T15:27:41.318569] [Sender 1] Iteration 1/30 | FPS=5 | ReqID=30 | Status=200
[2025-10-23T15:27:43.295750] [Sender 1] Iteration 2/30 | FPS=5 | ReqID=31 | Status=200
[2025-10-23T15:27:45.115613] [Sender 1] Iteration 3/30 | FPS=5 | ReqID=32 | Status=200
[2025-10-23T15:27:47.089930] [Sender 1] Iteration 4/30 | FPS=5 | ReqID=33 | Status=200
[2025-10-23T15:27:48.928481] [Sender 1] Iteration 5/30 | FPS=5 | ReqID=34 | Status=200
[2025-10-23T15:27:50.656842] [Sender 1] Iteration 6/30 | FPS=5 | ReqID=35 | Status=200
[2025-10-23T15:27:52.693037] [Sender 1] Iteration 7/30 | FPS=5 | ReqID=36 | Status=200
[2025-10-23T15:27:54.460438] [Sender 1] Iteration 8/30 | FPS=5 | ReqID=37 | Status=200
[2025-10-23T15:27:56.333228] [Sender 1] Iteration 9/30 | FPS=5 | ReqID=38 | Status=200
[2025-10-23T15:27:58.064714] [Sender 1] Iteration 10/30 | FPS=5 | ReqID=39 | Status=200
[2025-10-23T15:28:00.000576] [Sender 1] Iteration 11/30 | FPS=5 | ReqID=40 | Status=200
[2025-10-23T15:28:01.784396] [Sender 1] Iteration 12/30 | FPS=5 | ReqID=41 | Status=200
[2025-10-23T15:28:03.311389] [Sender 1] Iteration 13/30 | FPS=5 | ReqID=42 | Status=200
[2025-10-23T15:28:05.293206] [Sender 1] Iteration 14/30 | FPS=5 | ReqID=43 | Status=200
[2025-10-23T15:28:07.000159] [Sender 1] Iteration 15/30 | FPS=5 | ReqID=44 | Status=200
[2025-10-23T15:28:08.632964] [Sender 1] Iteration 16/30 | FPS=5 | ReqID=45 | Status=200
[2025-10-23T15:28:10.296008] [Sender 1] Iteration 17/30 | FPS=5 | ReqID=46 | Status=200
[2025-10-23T15:28:11.969565] [Sender 1] Iteration 18/30 | FPS=5 | ReqID=47 | Status=200
[2025-10-23T15:28:13.894391] [Sender 1] Iteration 19/30 | FPS=5 | ReqID=48 | Status=200
[2025-10-23T15:28:15.628106] [Sender 1] Iteration 20/30 | FPS=5 | ReqID=49 | Status=200
[2025-10-23T15:28:17.331130] [Sender 1] Iteration 21/30 | FPS=5 | ReqID=50 | Status=200
[2025-10-23T15:28:19.031967] [Sender 1] Iteration 22/30 | FPS=5 | ReqID=51 | Status=200
[2025-10-23T15:28:20.772506] [Sender 1] Iteration 23/30 | FPS=5 | ReqID=52 | Status=200
[2025-10-23T15:28:22.699782] [Sender 1] Iteration 24/30 | FPS=5 | ReqID=53 | Status=200
[2025-10-23T15:28:24.452094] [Sender 1] Iteration 25/30 | FPS=5 | ReqID=54 | Status=200
[2025-10-23T15:28:26.242274] [Sender 1] Iteration 26/30 | FPS=5 | ReqID=55 | Status=200
[2025-10-23T15:28:28.137955] [Sender 1] Iteration 27/30 | FPS=5 | ReqID=56 | Status=200
[2025-10-23T15:28:29.951966] [Sender 1] Iteration 28/30 | FPS=5 | ReqID=57 | Status=200
[2025-10-23T15:28:31.829053] [Sender 1] Iteration 29/30 | FPS=5 | ReqID=58 | Status=200
[2025-10-23T15:28:33.548533] [Sender 1] Iteration 30/30 | FPS=5 | ReqID=59 | Status=200
[2025-10-23T15:28:33.763316] [Sender 1] Finished test at 5 FPS in 53.83 seconds
[2025-10-23T15:28:33.763316] [Sender 1] 
=== Starting test at 10 FPS ===
[2025-10-23T15:28:35.240073] [Sender 1] Iteration 1/30 | FPS=10 | ReqID=60 | Status=200
[2025-10-23T15:28:36.986586] [Sender 1] Iteration 2/30 | FPS=10 | ReqID=61 | Status=200
[2025-10-23T15:28:38.684062] [Sender 1] Iteration 3/30 | FPS=10 | ReqID=62 | Status=200
[2025-10-23T15:28:40.241027] [Sender 1] Iteration 4/30 | FPS=10 | ReqID=63 | Status=200
[2025-10-23T15:28:42.003853] [Sender 1] Iteration 5/30 | FPS=10 | ReqID=64 | Status=200
[2025-10-23T15:28:43.632985] [Sender 1] Iteration 6/30 | FPS=10 | ReqID=65 | Status=200
[2025-10-23T15:28:45.550236] [Sender 1] Iteration 7/30 | FPS=10 | ReqID=66 | Status=200
[2025-10-23T15:28:47.055762] [Sender 1] Iteration 8/30 | FPS=10 | ReqID=67 | Status=200
[2025-10-23T15:28:49.004686] [Sender 1] Iteration 9/30 | FPS=10 | ReqID=68 | Status=200
[2025-10-23T15:28:50.683919] [Sender 1] Iteration 10/30 | FPS=10 | ReqID=69 | Status=200
[2025-10-23T15:28:52.275368] [Sender 1] Iteration 11/30 | FPS=10 | ReqID=70 | Status=200
