[2025-11-21T00:48:06.956029] 
=== Starting test at 1 FPS ===
[2025-11-21T00:48:17.392524] Iteration 1/60 | FPS=1 | Status=200
[2025-11-21T00:48:25.415397] Iteration 2/60 | FPS=1 | Status=200
[2025-11-21T00:48:30.465394] Iteration 3/60 | FPS=1 | Status=200
[2025-11-21T00:48:35.151980] Iteration 4/60 | FPS=1 | Status=200
[2025-11-21T00:48:39.337211] Iteration 5/60 | FPS=1 | Status=200
[2025-11-21T00:48:43.072030] Iteration 6/60 | FPS=1 | Status=200
[2025-11-21T00:48:47.288520] Iteration 7/60 | FPS=1 | Status=200
[2025-11-21T00:48:51.095295] Iteration 8/60 | FPS=1 | Status=200
[2025-11-21T00:48:54.643565] Iteration 9/60 | FPS=1 | Status=200
[2025-11-21T00:48:58.336011] Iteration 10/60 | FPS=1 | Status=200
[2025-11-21T00:49:02.590827] Iteration 11/60 | FPS=1 | Status=200
[2025-11-21T00:49:11.022532] Iteration 12/60 | FPS=1 | Status=200
[2025-11-21T00:49:16.011160] Iteration 13/60 | FPS=1 | Status=200
[2025-11-21T00:49:20.735621] Iteration 14/60 | FPS=1 | Status=200
[2025-11-21T00:49:25.494995] Iteration 15/60 | FPS=1 | Status=200
[2025-11-21T00:49:30.693472] Iteration 16/60 | FPS=1 | Status=200
[2025-11-21T00:49:35.040949] Iteration 17/60 | FPS=1 | Status=200
[2025-11-21T00:49:40.595361] Iteration 18/60 | FPS=1 | Status=200
[2025-11-21T00:49:46.733746] Iteration 19/60 | FPS=1 | Status=200
[2025-11-21T00:49:51.596902] Iteration 20/60 | FPS=1 | Status=200
[2025-11-21T00:49:56.098283] Iteration 21/60 | FPS=1 | Status=200
[2025-11-21T00:50:03.996453] Iteration 22/60 | FPS=1 | Status=200
[2025-11-21T00:50:09.868962] Iteration 23/60 | FPS=1 | Status=200
[2025-11-21T00:50:14.070423] Iteration 24/60 | FPS=1 | Status=200
[2025-11-21T00:50:18.900491] Iteration 25/60 | FPS=1 | Status=200
[2025-11-21T00:50:23.627848] Iteration 26/60 | FPS=1 | Status=200
[2025-11-21T00:50:29.033163] Iteration 27/60 | FPS=1 | Status=200
